properties_values,label
TSAJ990102,6
COSI940101,21
PONP930101,21
WILM950101,21
WILM950102,21
WILM950103,21
WILM950104,21
KUHL950101,21
GUOD860101,23
JURD980101,21
BASU050101,21
BASU050102,21
BASU050103,21
SUYM030101,21
PUNT030101,21
PUNT030102,21
GEOR030101,21
GEOR030102,3
GEOR030103,3
GEOR030104,3
GEOR030105,3
GEOR030106,3
GEOR030107,3
GEOR030108,3
GEOR030109,3
ZHOH040101,3
ZHOH040102,3
ZHOH040103,3
BAEK050101,3
HARY940101,6
PONJ960101,6
DIGM050101,3
WOLR790101,3
OLSK800101,3
KIDA850101,3
GUYH850102,3
GUYH850104,3
GUYH850105,3
JACR890101,3
COWR900101,3
BLAS910101,3
CASG920101,3
CORJ870101,16
CORJ870102,3
CORJ870103,3
CORJ870104,3
CORJ870105,3
CORJ870106,3
CORJ870107,3
CORJ870108,3
MIYS990101,3
MIYS990102,3
MIYS990103,3
MIYS990104,3
MIYS990105,3
ENGD860101,3
FASG890101,3
KARS160101,3
KARS160102,3
KARS160103,3
KARS160104,3
KARS160105,3
KARS160106,3
KARS160107,3
KARS160108,3
KARS160109,3
KARS160110,3
KARS160111,3
KARS160112,3
KARS160113,3
KARS160114,16
KARS160115,3
KARS160116,16
KARS160117,16
KARS160118,3
KARS160119,16
KARS160120,3
KARS160121,3
KARS160122,3
