p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11
0.6417943,0.42642307,0.027040176,0.7444451,-0.8795771,0.19396026,-0.5916173,0.3677064,0.31353027,0.6452497,1.2502998,0.10326439
0.40409678,0.5821464,0.15540573,0.5786243,-0.85311985,0.21293896,-0.37199488,0.49495834,0.12618321,0.6243838,1.1714844,0.22241296
0.41502872,0.5600258,0.110080585,0.65063596,-0.90540045,0.14832489,-0.6742682,0.58590907,0.1861216,0.58885664,1.2429439,0.11426406
1.8578184,1.0337157,-0.65978706,0.71629727,-0.60778254,-1.0601963,-0.12003942,0.87316024,0.17288841,-0.3943617,1.5612053,1.2178613
-0.8969995,0.62582076,-1.7613068,0.11945287,-1.0495178,-1.0616251,-0.51379246,-0.34617755,-0.13996539,-0.60567963,1.6427257,0.9184758
-0.2401719,-1.20485,-0.41766623,-0.5238579,-0.03695411,-0.07142604,-0.035647202,0.09002956,-0.15561293,-0.267393,1.6251217,0.63221115
-0.4665378,0.542628,-0.54117227,-0.26048097,-0.20387858,-0.9665137,1.4490446,0.22757015,-0.7241913,-1.1324066,1.9257586,0.19101125
-0.652608,-0.020537255,-1.7161195,0.12121941,-0.67026234,-0.81757647,-0.076522656,0.12516738,-0.06512162,-0.7226471,1.3805087,1.1719109
1.870728,-0.29132426,2.5345106,-0.1836702,0.30498445,-0.011401481,-0.006457547,1.218339,0.45603904,1.3996962,2.7174025,1.4576871
-1.0589886,2.146136,0.30343744,0.68259054,-0.360832,-1.8893703,-0.5108816,1.1661394,1.4216354,-0.042007133,1.0268356,1.6385248
-0.027434167,-0.068341605,-1.2641886,1.6849864,-1.1825116,1.1114944,0.83543634,-0.11780611,-0.34870112,0.91304165,1.9786124,0.73086864
0.07943889,0.9063188,-0.8859953,1.7147112,-0.3232336,0.8051899,-0.19198845,-0.22966333,0.06281254,0.018142829,1.6402986,3.456236
-0.25362617,-0.23660968,-2.4199727,0.8550145,-1.1206746,-0.74365884,-0.95915705,-0.0005588451,1.0451111,0.34514153,1.9865373,0.24628448
-0.29709426,-0.84657156,-1.6232451,1.0092558,-0.33087847,-1.0591869,-1.0301794,0.39486262,1.1310664,-0.3208059,2.225743,-0.074550904
0.3756309,-1.219948,0.30570477,-0.45351422,-0.47461146,1.0204381,0.27506182,-1.2526482,2.3367777,-1.1211293,0.9488132,1.9168955
-0.22609831,-0.82182413,-0.2555154,-0.23205951,0.16562639,0.9170769,-0.095506415,-0.54829884,0.4204134,-0.86344516,1.7919728,1.685921
1.3462396,-1.0254213,-0.53913116,-1.3427738,-0.43789437,0.32621783,0.084466636,-0.74854636,0.96142834,-0.9997753,1.6738471,1.6012137
0.810496,-0.4464991,-0.57779175,-0.71690464,-0.15819769,0.4033917,-0.111043856,-0.33423358,1.0844294,-0.13830662,1.7254447,1.6590568
1.5628009,-0.78343314,-0.7614658,-1.3759974,-0.24801503,-0.236331,0.51263434,-0.30124614,1.0104969,-1.2288989,1.6845217,1.8539919
0.9574855,-0.43405598,-0.14367962,-1.9220958,-1.5694045,0.98338175,-0.057157658,-1.4355229,1.0518485,-1.4765743,1.7935661,2.020276
1.3570209,-0.568677,-0.6352706,-1.2058462,-0.5474604,0.26027435,-0.1712691,-0.25171942,1.0123917,-0.7206097,2.1236234,1.8984611
-0.386258,-0.7535632,-0.14417219,-0.76283103,0.020924326,1.1601061,1.1525446,-2.0128016,1.976791,-1.5570176,1.1297386,2.240237
