p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7
0.76729655,0.11141255,-0.9421559,-0.6469039,-0.15137753,-1.8968621,2.021654,0.7819791
0.66579914,0.21708983,-0.85368466,-0.71562994,-0.0817704,-1.5832919,2.00966,0.44565517
0.49976605,0.22785322,-0.8876685,-0.60983455,-0.16368477,-1.5632286,2.036363,0.45050937
0.7803209,-0.99901253,-1.4403813,0.21949811,0.46475154,-1.1898314,2.186839,1.2597195
0.7025786,-0.96910334,-0.96186286,0.2757396,0.4105581,-1.3367355,1.9466392,1.3319019
0.6287845,-1.106742,-0.7431578,0.3475158,0.49735066,-1.0577585,1.8814286,1.2354058
0.5043891,-1.0080708,-0.8000459,0.29754487,0.6066717,-0.9959037,1.8419352,1.2042441
-1.0159386,1.9091325,1.6460097,-2.2130833,1.3205254,0.24772252,1.8513709,0.13132164
0.6754614,1.1774437,1.8790501,-1.1604096,-0.18504067,1.9457446,2.6981928,-0.9449789
0.7590891,-2.893295,-1.4598415,-0.9816546,0.8561786,-0.6057556,3.6658585,2.2294114
-0.88229674,-1.8909305,-0.9059474,-1.6367892,1.0312773,-1.3303981,2.4805534,0.60799557
-1.69406,-2.0131078,-0.9369294,-0.99112886,1.3672537,-1.3330257,2.2847285,2.1850762
0.6989273,-1.782063,-0.62733406,-1.7994303,-0.21116795,-2.9281373,2.2496908,1.9306443
1.11561,-1.3199002,-0.85249496,-2.4674497,-0.6253266,-3.1485248,2.5486608,1.3857715
0.8076335,-2.5866013,-0.57394445,-1.0101131,0.6073572,-1.4401478,2.4879956,2.1829405
-1.0708164,-0.71678454,0.00059960596,0.53298265,2.8681402,0.13014486,2.121781,1.5178403
-2.2365477,-3.66583,1.4650061,1.065533,-1.5739535,-1.6375117,1.753665,0.72244024
0.042475104,-1.0278364,-0.5407248,-1.2113354,0.41134033,0.019585771,2.2629192,-1.087351
-0.54866093,-0.78283405,-0.5455323,-2.212852,1.2143546,-0.36246595,2.404061,-1.7016389
0.4066645,0.23076633,0.79338676,-1.2312763,0.11521599,0.34185767,1.8384138,-0.6744019
-0.022353292,-0.9312351,-0.088795245,-1.1720356,0.88988763,-0.2847114,1.258803,0.8454898
1.130872,1.2632656,-1.0493808,-0.56144124,-0.6049793,-2.0088499,1.8635218,-0.1500855
1.3133914,1.5637518,-1.200707,-0.6809902,-0.6521505,-1.7572756,2.214497,-0.22621727
1.6436425,1.3130466,-2.0873623,0.05970007,-0.1592626,-0.5229627,3.1410162,-0.52228516
-0.28486955,0.3402276,0.6608682,0.3361422,1.0029771,0.31392363,0.68365526,0.32187474
-0.5239257,0.3206703,1.0683745,0.24383236,1.2291819,0.4365495,0.69209903,0.23498397
1.3668988,0.7917869,1.5046985,-1.0611838,0.35067004,-1.401831,1.36824,0.4310588
1.0520244,0.6237526,1.8108404,-0.7042098,0.33241916,-1.0800753,1.3900197,0.59775895
1.231445,0.91268927,1.7749481,-0.7580194,0.3271902,-1.1210756,1.4792988,0.85159314
1.1264409,0.47580603,1.8327719,-0.78978443,0.45258078,-1.5649475,1.3548839,0.4170794
1.0290391,0.7119183,1.5931942,-0.6000579,0.2525561,-1.6045681,1.430833,0.67104954
1.0243559,0.37634647,1.8175962,-0.70172876,0.12825905,-1.1946152,1.4734812,0.77712214
1.5694933,0.7261345,1.8867391,-0.4171521,0.6536096,-0.40938088,1.5960232,2.0499794
1.319125,0.71782786,1.6721909,-0.5179144,0.14325583,-1.4493331,1.4996561,0.4676777
1.4285041,0.44975385,1.2827567,-1.8113388,0.4665888,-1.2616264,1.5697423,0.3958828
1.0005805,0.7001527,1.9206337,-0.36569616,0.24021871,-1.266157,1.416196,0.7577929
1.0933275,0.9280546,1.6470693,-1.1956309,0.028544813,-1.4593049,1.5277288,0.40573582
1.8860737,0.13450405,1.5956858,0.16496508,1.7040479,-1.1029439,1.3416947,1.195274
1.0666696,0.88271445,1.701846,-0.5806049,0.34589735,-1.3811078,1.3694726,0.46242642
1.4824636,1.0735545,1.6845741,-1.1241534,0.4391337,-1.4354484,1.6693836,0.0404893
1.4133747,0.97780263,1.9911923,-0.7681862,0.2545129,-1.4072707,1.6089572,0.02924623
1.4617236,1.1999727,1.8985323,-0.91444135,0.087531336,-0.9137484,1.8520393,0.24547406
1.5404818,0.90114015,1.589899,-1.1199135,0.4204831,-1.3337628,1.5543653,0.1601122
