p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22
1.3238406,0.2997761,-0.15662727,-0.03303779,-0.45447233,0.4843936,2.0066485,0.623354,-0.43710268,1.2861637,-0.111176394,-0.66758376,0.6975413,0.24389738,0.10995024,1.5271493,-0.6884559,1.1778247,-0.2108806,-0.14797997,0.9462993,1.5242972,0.61672676
0.6346777,-0.014865383,-0.21677776,0.5288272,0.061649173,0.33674937,0.96204,0.08316784,0.19772895,0.5986598,0.054859176,-0.34183344,0.7785908,0.0429208,-0.70710814,0.40084007,-0.21316402,-0.21900386,-0.2383816,0.07893919,0.1557276,0.25001937,-0.22792728
0.79574245,-0.023262452,-0.15685706,0.64114624,0.10038556,0.5234537,1.0460795,0.228939,0.08843996,0.62572277,0.08506245,-0.571536,0.5285517,-0.11903476,-0.7024062,0.4703149,-0.38337258,-0.1590951,-0.090374894,0.18378788,0.21058312,0.14926304,-0.21397406
0.25684184,1.4331743,0.9357449,1.256697,-1.299533,0.2244443,-0.232931,0.7637069,-1.1894988,0.7261529,-0.23251355,-1.1645238,0.22453636,0.63981384,-0.12199719,1.5173991,0.41024983,-2.1797407,1.5721004,-0.026802948,-0.35792202,-0.01969531,-0.029447889
0.7260238,1.0631158,0.622655,1.3370562,-1.0500013,0.5680661,-0.3141921,0.42313743,-0.98327374,0.61377734,-0.5020175,-0.8518249,-0.16023955,0.7043899,-0.40295157,1.3316007,0.096067615,-2.2545443,1.7497842,-0.14090768,-0.36593348,0.29811412,-0.47685623
0.68394923,0.79420656,1.0252804,1.2399582,-1.0295658,0.5379715,-0.39724845,0.7274041,-1.0225928,0.2623118,-0.80478853,-0.8441997,0.36908296,0.9112116,0.049074464,1.2454877,0.15683475,-1.9313525,1.6327758,-0.022441667,-0.4305313,0.11834296,-0.27243912
0.34622478,1.483489,1.2225741,1.476413,-1.1589326,0.2638869,-0.34657013,0.63200194,-0.9449748,0.70603395,-0.17766799,-1.2947524,0.3199508,0.82249683,0.0009603741,1.5402359,0.5531019,-2.084613,1.5201107,-0.08639136,-0.08180458,-0.055149328,0.0129681295
0.32071668,0.5758969,-0.97794574,1.0430217,-2.054011,0.8133512,0.400834,1.2836488,-1.114114,0.84494734,0.8433393,-1.4047319,0.73149747,-0.051350262,0.40041706,0.96358854,0.84436417,-1.4324635,1.2310141,-0.4858642,1.0400826,-0.29804656,-0.6445281
0.934991,0.7483451,-0.7235835,0.5482995,-0.2718455,-0.103766866,0.56673306,0.7789291,-0.3864298,0.7311133,-0.061357435,0.22853357,0.7973841,0.2406479,-0.1873117,0.68363255,-0.20376506,0.359586,-0.2885585,1.1821213,0.4244749,-0.14186034,-0.12645549
0.71509653,0.80185443,-0.77900153,0.5993346,-0.19743198,0.17015038,0.39033997,0.8458489,-0.3723594,0.7803993,-0.110180065,0.11313243,0.76359713,0.4517656,-0.16201152,0.58112806,-0.007864232,0.41385874,-0.23396406,1.5859373,0.4574526,0.015844043,-0.1946854
1.1042863,0.9711445,-0.860694,0.13627648,-0.69247234,-0.046920393,0.48626077,1.1495392,-0.28558266,0.667227,-0.055366993,0.20836341,1.0615424,0.40914923,-0.41681355,0.47237036,0.07677295,0.300074,-0.16530769,1.0298069,0.7871701,-0.17337368,-0.13555318
0.7801888,0.7679688,-0.7547538,0.48173413,-0.20796597,0.018803041,0.5967825,0.6874442,-0.3252905,0.77345145,-0.17570834,0.13969693,0.6184954,0.42901573,-0.22554445,0.6922183,-0.16297448,0.45317596,-0.2770149,1.2698178,0.33701974,0.049121935,-0.09662121
0.8659935,0.72420037,0.048820633,0.77842534,-0.50638855,1.245513,0.9900261,1.9834709,-0.48103705,0.16027907,0.09972298,1.023272,0.30843386,0.9087623,-0.374825,0.9708657,-0.94620264,0.4356568,-0.5043045,0.77999824,0.6583252,-0.46221107,-0.39113516
0.3591251,0.47298843,-0.2367738,0.024840325,0.23957923,-0.26300105,-0.044462025,0.70389646,-0.52064496,0.053357843,0.622636,-0.24108082,0.48238105,-0.31112063,-0.72634965,0.5995185,-0.5268166,-0.40302554,0.17486349,0.4567837,0.18869847,-0.3714879,0.08373551
1.8352593,0.8147982,0.61586106,-1.037583,-0.04432491,0.90592664,0.95145655,1.1396909,-0.79634196,0.5182415,-0.34096363,-0.77942365,1.0874379,-0.1394404,0.26394653,0.7871317,-0.19472845,-0.5114622,0.53677446,0.14277597,0.96042806,0.061380222,0.23411128
1.2477506,-0.8299681,0.13503574,0.10053688,-0.44525394,0.27086264,0.63121176,0.79690576,0.13576843,0.55155206,0.45328444,-0.6658356,0.99679035,1.2157974,0.44726023,1.2258352,0.4040667,-0.15488277,-0.46741828,-0.3040258,0.6442469,0.7188742,0.49386647
0.8354507,0.1300668,0.39513376,0.2370799,-0.8641413,0.63982415,0.84027934,0.7845348,-0.5326099,0.35169432,1.0125825,-1.4618938,1.016809,0.06652285,0.2958083,1.0667266,0.30844653,-0.98340553,0.14001657,-0.32101125,0.38178757,-0.45875522,0.68492985
0.24210063,0.105465196,-0.08410905,0.67328674,0.21560834,0.5140211,0.09221954,-0.19668724,0.3964046,0.30692276,-0.1403089,-0.62716234,0.8616831,0.540034,-1.3375442,0.12236954,-0.00780818,-0.32995835,0.86898404,-0.85739595,1.6189225,0.9478516,-0.01711814
0.42020795,-0.5493432,0.81192094,-0.48493576,-0.864931,-0.35043356,0.43640646,0.46591157,-0.61175233,0.6215103,-0.12471896,-0.7495449,-0.13784537,0.4817235,-1.9260416,1.5098993,-1.1574243,0.95237654,0.39356524,0.88916993,-0.42217997,-0.33205247,0.16822869
1.0698017,0.2674856,0.82122016,0.6417069,0.46654093,-0.59977597,0.6342494,0.88612515,-0.6359633,0.7054657,0.9396365,-0.36888105,0.28647447,0.1760939,-1.3166459,0.2778958,-0.6041381,0.51597923,-1.1125108,0.77421165,0.29649866,0.72800845,-0.053213157
1.2301451,0.20083958,-0.3410335,0.5519882,-0.08776364,0.26048014,-1.8784668,0.6274851,-0.6691507,-0.34714845,2.029887,-1.2603021,1.756772,-0.03254672,-1.5953724,-0.2923895,-1.2125418,0.37278602,0.59221584,0.4390745,0.4239275,0.65577245,-0.49118388
0.5638826,-0.16588892,0.18895787,0.41856724,-0.60643524,1.0949368,-0.83711225,1.4613394,-0.8222172,-0.49787226,1.376656,-0.07420637,0.4808215,0.49121162,-1.752785,0.33602583,-1.6391064,0.12949893,0.062905625,0.16409771,0.377835,0.6099093,-0.88038534
1.5420718,1.0105461,-1.3064512,0.1914857,-0.9541873,-0.18469769,0.7364874,2.2016528,-1.0145253,-0.041998472,-0.08425761,0.2297617,0.33637145,0.44792253,-0.097091064,1.3689202,0.8766123,0.010051806,-0.15184657,1.1278379,0.22186808,0.10979458,0.27233276
0.35556942,0.8074467,-0.50906205,1.2554502,-0.106578715,0.2508334,1.1655375,-0.5104635,-0.12374933,1.3962911,-0.88752383,-0.18212256,1.1512036,1.1762322,-1.7359791,0.48125234,0.27834997,0.86878335,-1.5570065,0.8138775,-0.49249062,-0.6590799,0.27720386
0.55564183,0.016405841,0.13266113,-0.18068527,0.010109169,0.008791765,0.4324739,-0.08923997,0.032610144,-0.3730332,-0.25697994,-0.7143241,1.2205563,0.7178445,-1.1046423,0.5493221,0.5643516,0.36359206,0.09485202,0.19168657,0.95296615,0.27715597,-0.37847617
1.0377206,-0.25643796,0.31972376,-0.20530736,0.07168046,0.19267364,0.40320915,-0.35556164,0.27953592,-0.34306684,-0.28580886,-0.80931103,1.5112015,0.8750571,-0.904654,0.73594683,0.39843905,0.19971815,0.21408191,-0.13834728,0.6922415,0.17104566,-0.09743606
0.28859296,0.53765494,-0.56886435,-0.08045014,0.96896154,-0.4362295,1.7060375,1.0356052,-0.8142951,-1.023272,0.4363307,-0.068069875,0.5089036,1.2960442,-2.1221805,0.047097784,-0.23361601,-0.7662511,-0.11835758,1.1959001,1.7279524,0.510611,0.89609677
0.043631334,0.44304633,0.23308189,-0.24425846,-0.6604031,0.41509596,0.39950457,-0.0153908525,-0.73958284,0.15229946,0.99770224,-0.27075943,1.2337108,0.5582408,-1.4103149,1.1849226,0.41060472,0.7244638,-0.2355913,1.4097191,0.96192384,1.0577875,-1.036049
-0.18531878,0.025141237,-0.16696706,-0.48824564,0.20928048,0.89142805,0.3918766,1.5146431,-0.14201517,-0.89704245,0.8247314,0.4176298,1.3695363,0.50769013,-2.4693139,0.6699477,0.5836098,-0.7695648,0.8402894,1.3356937,0.9091367,0.20779125,0.54932755
0.34646702,-0.014333806,-0.5932872,-0.91876614,-0.4397584,-0.4687252,0.33166817,1.2914307,0.27998525,0.28337595,-0.61827826,0.22968026,1.2114354,-0.010584547,-1.5407064,0.4970062,-0.77929205,-0.065865986,-0.43015245,0.5025448,-0.18616839,-0.1958333,-0.13051546
0.98338294,-0.38324606,-0.75719553,-0.0007188783,-0.43007395,-0.6203521,0.2759092,1.3589838,0.10618827,0.103717916,-0.40845305,-0.097166166,0.43056932,0.55759215,-1.239442,0.21941991,1.0738274,-0.04321064,-0.32499284,0.20376657,0.88868946,-0.71461546,0.4821523
0.28892547,-0.14591505,0.10627992,-0.6097544,0.38471702,-0.07369549,0.70401734,-0.5689561,-0.17922527,-0.21627627,0.02264497,-0.33276886,1.4032292,1.2912675,-1.2678288,1.2765323,0.1333178,0.30836466,-0.07237789,0.24304958,1.3212602,-0.29782167,-0.29282582
0.4713493,0.51958185,-0.7290027,-0.14199178,-0.03199825,-0.24859391,1.1422601,1.4380801,0.7889941,0.41783834,0.76866436,-1.0333902,0.21467464,0.8719634,-0.9888809,0.64098173,0.32529506,-0.100088656,1.4972332,-0.41480896,0.8828518,1.7776808,-0.8501887
0.8553433,-0.55223244,-0.46588358,-0.6549994,0.8256357,1.1348253,0.42608285,0.2747213,-0.2383642,-0.2266996,0.5259888,0.7688123,1.0861607,1.2578547,-1.5685878,1.1185523,0.25348616,0.16779669,0.38636863,0.45992163,1.3439182,-1.1598712,-0.057151712
0.15609305,-0.28770855,-0.6207215,0.15899162,-0.44221574,-0.23361948,-0.44696343,1.5020882,-1.0555507,0.39810795,-0.29250044,-0.53140265,0.3494076,-0.65935904,-0.071190335,0.38362634,0.10105032,-0.77759993,-0.6189781,0.54615647,0.52650464,-0.4890305,0.067641556
0.89134556,0.31603163,-0.48925295,-0.17925085,-0.5524912,-0.49332276,-0.85374886,-0.540486,-1.3690301,0.2854232,-0.28325972,-0.35012618,1.0995164,0.13134836,-1.8704324,0.38049734,0.04574872,-0.11987598,0.696887,-0.83634245,-0.8557014,-0.8587278,0.24073529
1.4462938,0.20121412,-0.012289681,-0.333473,-0.7349541,0.2519316,-0.58923125,0.44263276,-1.4486413,0.026100453,-0.9553506,0.13805307,0.86746764,-0.07167606,-2.0044532,0.06791054,0.20766872,0.107974306,0.6743519,-0.09799034,-0.2364134,-0.17596668,0.14699794
1.3324958,0.23186095,0.043223523,-0.17728421,-0.7349315,0.38430575,-0.7193543,0.22129327,-1.507691,0.005860167,-0.8941364,0.21459037,0.7279425,-0.026717762,-2.1109238,-0.11065737,0.02036666,0.06647222,0.70868146,-0.08622698,-0.17208928,-0.17131154,0.3012185
0.8561455,0.31614783,1.188534,-0.3474763,-0.084526464,0.09599152,-0.2689015,1.0211165,-0.13436534,0.61277145,0.31853774,0.31621084,0.69831896,0.63856506,-1.4825579,0.69686174,0.5083609,0.4390437,-0.6848044,-0.5770967,-0.67280304,-1.5533036,1.0404662
-0.13473155,0.71502346,0.99893373,0.84272045,-0.016107652,1.2955403,-0.058821484,1.6676235,0.291271,1.4958246,0.94959414,-0.13138713,0.9197681,-0.8311901,-2.3193908,0.841902,-0.13918616,1.1900775,-0.06457309,0.33765313,0.23456807,-0.127558,-0.40940157
0.19459611,0.026165549,-0.4866451,0.42159042,0.8792865,1.6326613,1.8260566,-0.62459075,-0.9079702,1.0219437,0.60185605,-1.080667,1.0926145,0.73830754,-1.9816415,0.19385555,-0.7063082,-0.021424372,0.82719624,-1.2195314,0.6931986,-0.1668599,0.80780566
0.35398698,0.2907174,-0.4149029,0.60607857,0.9427118,1.5145482,1.4344504,-0.71989775,-1.5714502,1.3470423,1.0163552,-0.87671995,0.68631375,0.81638664,-1.7585797,0.13187976,-0.73629284,-0.41693562,0.4293334,-1.2060585,0.4326655,0.2017621,0.7590241
0.71999454,0.22289397,0.020565858,-0.027375638,0.24205294,0.47689077,0.31489545,0.14832316,-0.087472096,1.2095551,0.4806354,0.735453,0.33759615,0.12533437,-1.6492367,0.5655892,0.46351254,-0.7391769,0.49698335,0.95343745,0.07058715,-0.052563988,-0.23001935
0.67059875,0.17254475,0.0226262,-0.019624285,0.18913737,0.5141114,0.31327188,0.1601876,-0.14682697,1.2096859,0.34108153,0.6694288,0.3323323,0.13135378,-1.651232,0.566427,0.47500107,-0.741897,0.37366742,1.0514567,0.18436211,0.040433526,-0.23077483
-0.15977868,0.12924527,-0.18126869,0.54431486,0.16067845,-0.27212042,-0.0038219737,0.9350142,0.34443805,-0.20268585,0.38985458,-0.15925846,2.0108583,-0.32802612,-2.4606686,0.17052865,-0.0744351,-0.71835756,-0.5709672,-1.2853004,1.8846955,0.27099955,-0.3449751
0.32695854,0.24521852,0.14029393,0.28030053,0.030821979,0.38057256,-0.08562078,0.39997104,-0.09881294,-0.0028122975,0.28389075,0.027835282,0.4014643,0.12959316,-0.011445748,0.4153174,0.39268678,-0.009748343,-0.11013786,-0.20299235,0.15816519,-0.22224954,-0.12290511
0.35298917,0.1622668,0.69152576,-0.53948456,0.66450614,-0.24244995,-0.07493502,0.4778181,0.85002106,0.6914578,-0.031848267,1.2116349,0.4556709,1.6596627,-0.92216206,0.36920676,-0.41216427,-0.8048917,-0.035150647,-0.002693281,1.8563391,0.96761024,-0.77381223
0.27694678,0.29275724,0.41244385,-1.3224572,0.8369337,0.22056252,0.6882507,1.0233198,0.8524822,1.4719634,-0.53087616,1.0049183,1.4269874,1.8680772,-0.7673741,0.66292804,-0.052294116,-0.7406704,-1.664458,-0.6390291,1.3651246,0.79498374,-0.5926868
