p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26
0.86871785,0.3757038,1.4277054,-0.44532132,-0.19221693,-0.5490734,0.0787063,0.34216657,-0.53096455,0.27317187,-0.37087667,0.20625629,1.1058006,-1.6774439,1.1941043,0.0642883,0.8192564,-0.98503476,-0.26185256,-0.97242516,1.860363,0.34391177,1.2264087,0.599031,0.5607571,0.2850531,0.3230255
0.7274985,0.02283137,1.1538798,-0.2621538,-0.67322606,-0.7252328,0.068753466,-0.022949962,-0.4705745,0.14013638,-0.2943046,0.46815875,0.8668444,-1.4284892,1.203529,0.2266494,1.0872326,-0.8120557,-0.30143124,-0.85679805,1.8336917,0.40874973,1.2278063,0.65504146,0.1480606,-0.20182672,0.7859204
0.54241395,0.031124655,1.3021047,-0.4971581,-0.4224737,-0.34993464,0.049798604,0.59556043,-0.14627935,0.20305423,-0.18024716,0.66953444,1.2560266,-1.4091682,1.51767,0.564199,1.3108888,-0.58307034,-0.6352363,-1.1068783,2.15529,0.089588374,1.5405961,0.33129707,-0.040313613,-0.1882832,-0.006178462
-0.08633435,0.12161578,1.1197939,-0.54933107,0.046784904,-0.25961208,-0.5969723,1.3133258,-0.039997403,-1.4786062,-0.8534092,0.34597147,1.8750706,-0.48919073,1.5795107,0.25138474,0.4800592,-0.7347507,-0.36764592,-0.7298184,0.9853259,1.2473162,1.5931097,-0.07917263,0.43890616,-0.35112458,0.69727075
0.8418106,0.44790143,-0.53761405,-0.6764252,0.28249693,0.96679825,-0.060738612,-0.61851144,-0.023624964,-0.18166754,-0.39678946,-0.006061931,0.66963935,0.4415573,0.015560506,-0.26455972,-0.1672426,-0.3701548,-1.0063823,-0.28561008,0.24280049,0.3602699,0.7648827,0.04322161,0.16601317,-0.75042534,0.55071145
0.78560543,0.38867795,-0.76864165,-0.8821982,0.25929844,1.0100168,0.013276178,-0.6683802,0.010877918,0.10830392,-0.45099345,-0.06155793,0.65617204,0.46889806,0.079086766,-0.39969102,-0.11265578,-0.23514844,-1.1207348,-0.35786644,0.12215975,0.45692992,0.78371865,-0.055263735,-0.012665903,-0.7340751,0.6695466
0.8602244,0.33091515,-0.5873215,-0.9241613,0.5152222,0.6986353,0.5302314,-0.15467635,0.13225539,-0.61034894,-0.12905361,0.11363468,0.7047592,0.29060426,-0.07162011,-0.7695902,-0.44925508,-0.19592987,-1.2170707,-0.51265633,0.3113281,0.32074076,0.79615355,0.162816,0.44404778,-1.0631543,0.58701676
0.67563635,0.43473437,-0.6795537,-0.72972274,0.10663871,0.99020797,-0.14596418,-0.64960384,0.01515769,-0.10051605,-0.37599388,-0.115966655,0.65690386,0.42802867,0.086434744,-0.39758745,-0.018688567,-0.25405824,-1.0218511,-0.279633,0.24605632,0.3876162,0.8915684,-0.09111673,0.19821668,-0.66877294,0.5213332
0.9584698,0.7375004,-0.64539814,-1.3001872,-0.48413548,0.59779084,0.07696244,-0.53846145,-0.81355387,-0.40853596,-0.032289967,-0.3603348,0.08793803,-0.037555717,0.48097026,-0.40548438,-0.07125388,-0.4296904,-1.6695083,-0.04952484,0.035305716,0.61214226,0.7464049,0.91190803,1.6262628,-1.2134389,0.9903755
0.4703505,0.106807075,-0.38848677,-0.0081339115,0.14939767,0.35677892,0.85292685,0.1474024,-0.054129634,0.027220972,-0.18257505,-0.10783993,0.4997821,0.43585214,0.118110515,-0.62046814,-0.08932683,-0.29544923,-0.7563261,-0.09107542,0.6450747,-0.32112074,-0.015492752,0.39492834,-0.0608316,-0.07742735,0.18354002
1.8989812,-0.4779415,0.06690999,-0.98091245,0.30224726,0.8065991,0.5627027,0.69491386,0.25249824,-0.76461565,-0.113146394,0.47335854,0.5852095,-0.6936571,1.2920905,-0.29467228,0.50278866,0.26979113,0.083008684,-0.3102193,0.11877169,0.5918694,0.728441,-0.10795428,0.2240635,-0.43489745,1.0188824
0.8857678,-0.28912547,-0.5169336,0.028966945,-0.50679994,0.07019959,0.048491284,0.6140024,-0.028265681,-0.68891823,0.8312059,0.43364686,-0.08407711,0.12155091,0.45295352,-1.1654787,0.23562403,-0.09451307,-0.37311086,-0.94827604,1.0778602,0.9427511,0.40655214,-0.21696515,0.76490724,-1.3878329,0.1523178
0.9437204,-0.19506952,0.28963748,-0.21556906,-0.97071034,0.25591964,0.12573908,0.55313766,0.6871181,-1.2017715,-0.0061291233,0.57029927,1.0255052,-0.37684432,1.2817141,-0.33129728,0.507764,-0.056834973,0.0059434045,-0.77167535,1.185181,0.37189007,0.4526155,-0.3390405,0.029723488,-1.1628288,0.061649855
-0.28818998,0.4491453,0.7575456,0.7263673,-0.11065093,0.077718884,0.89729714,1.0149664,-0.53543395,-1.3426585,0.32740802,0.087071426,-0.17888214,0.4840277,-0.28184742,-0.60547334,0.5058579,0.083909795,-0.36905563,-0.62309843,1.2301013,0.0361513,0.34170094,0.725643,0.74684423,0.18821022,-0.3279843
1.2909018,0.90837985,-0.2985663,-0.45179975,0.8293866,0.41956556,-0.99055547,0.19460693,0.11126916,-0.86464834,-0.11501964,-0.12284524,-0.016400076,0.749953,-0.31602195,-0.7018126,1.2349843,-0.97606,-0.7074775,0.9289868,0.57708716,-0.17632154,0.16224542,-0.19285631,0.54627705,0.3607914,0.92208725
1.1317558,-0.0033676464,-0.42450178,0.17624909,-0.1410164,2.117689,0.8293825,0.210571,-0.24768686,0.22314818,-0.23457718,-0.27127823,-0.5213054,0.77908117,-0.17510732,-0.4201048,-0.06167272,-0.06248946,-0.5843869,-0.3050753,0.7945201,-0.2566853,0.8964067,0.5396479,0.46432185,-0.60422885,0.27418867
1.7747669,0.80619866,0.22171743,-0.34544164,0.6718145,0.78768265,0.4164226,-0.34506047,0.014808968,-1.2887627,-0.73522246,-0.25988713,-0.67360204,0.7073334,-0.95722324,-0.4577781,-0.12026495,0.1320419,-1.0916969,0.49085215,1.2187396,-1.6322577,-0.42283848,1.693914,-0.7002935,-0.13980743,0.9239032
1.5327518,1.1623828,0.40396604,-0.71136045,-0.017595965,0.6458329,-0.009693195,0.25727195,-1.0191355,-0.7455347,-0.3428753,-0.5781248,-0.791016,0.3535291,-0.13494116,-0.08251769,0.14322338,-0.41229004,-0.65324545,0.71296364,1.058315,-1.3017337,-0.1782424,1.8145934,0.71311694,-0.7083105,0.978316
0.23068881,0.5339637,-0.6705406,-1.3560705,0.5307797,0.91878045,-0.2269487,-0.662634,0.018203614,-0.8208528,-0.8126106,-0.35110605,0.88236445,-0.36737713,1.009899,-0.45155683,0.08240291,0.96304685,-1.3198775,-0.634692,0.9460627,1.1489453,0.89966226,0.2533249,-0.019609278,-1.4313595,0.099103175
0.057880253,0.86698914,-1.548817,-1.237581,-0.4926734,-0.03801169,0.90402955,-1.0529095,1.1417979,0.25066248,-0.1030392,-0.46644902,0.13798262,0.2964375,0.63518125,-1.3187662,1.499294,-0.50393325,-0.69596386,0.18975918,0.75456285,-0.113781236,0.6995935,-0.5730481,-0.038965277,-0.061981756,0.2485956
0.5794051,0.79623127,-0.07818225,-0.5438925,1.1835047,0.35516912,0.7198728,-0.09794209,-0.017625945,-0.8062413,0.61839306,-0.005801669,-0.08303939,0.2814471,0.48305705,-0.62433374,0.38333622,-0.16917725,-0.06856803,-0.19517718,0.468152,-0.3610767,0.2050693,0.008832079,-0.14474969,0.20784014,0.942202
0.952076,0.42338178,0.0058683776,-0.3959554,1.0371196,0.28898078,0.6235335,-0.47765362,0.029562829,-0.9532198,0.837425,0.52392757,-0.40870547,0.064635344,0.71241814,-0.92640674,0.44173163,-0.2880573,0.08170546,-0.3448063,0.71649027,-0.38512263,-0.17824693,-0.18188107,-0.06486454,0.17258021,0.9928216
0.21461596,0.1287943,-0.92412204,-0.44207436,-0.38187656,1.3186678,1.4672167,0.7851732,-0.2168916,-0.49120373,0.95608866,-0.7827285,0.9647374,1.2244238,-0.4039343,-0.41864488,0.7954976,1.0869571,-0.95040935,0.85304016,1.1912673,-0.5650436,1.002348,0.32593995,0.97640866,-0.2610111,0.89974207
1.2904007,0.5660459,-0.043676835,0.08009247,-0.111376815,0.50174755,1.1459862,0.3621278,-0.22543254,-0.6928121,-0.046075888,-0.6886348,0.6010533,0.87211883,0.178352,-0.99450713,-0.23892112,0.40896326,-0.28613266,0.7686851,0.52752346,0.11852298,1.3516337,1.2089425,-0.4103482,1.4339259,0.34041572
0.23722798,1.2201183,0.36873403,-0.7827418,1.8290081,1.8748342,0.06551248,0.9402799,-1.2666448,-0.88236904,0.5411946,-0.33904448,-0.047085308,0.5745525,0.30495635,-0.94018877,0.8580865,0.14069572,-0.25219953,-0.46097526,0.3440093,-0.74524236,1.4289709,0.69944125,-0.29011333,0.3519421,0.18718046
0.17750348,0.7596529,0.41818398,-0.25662068,-0.20668802,0.39899153,1.2186371,0.53041506,-0.15730383,-0.6359253,0.4549027,-0.88720816,0.93716687,0.50762147,0.3728373,-0.1889485,-0.21384856,-0.8385369,-0.5370365,0.26735112,0.2025827,0.35559854,1.0449152,0.6897505,-0.15194587,0.60362977,0.5176363
-0.3236135,0.40586707,0.18340138,-1.0002943,0.8092651,0.611398,1.1132597,0.0584501,-0.2286591,-0.44868034,-0.024213502,-0.25563794,0.28095183,0.46062985,0.8023787,-1.0239644,-0.28504565,-0.32022262,0.47413635,0.45685127,1.0734383,-0.2188984,1.0843643,0.06886565,-0.26436895,0.29635543,0.17563212
0.65429926,0.45773754,-0.6467423,-0.4785355,1.5048035,0.46296304,0.92463005,-0.14859949,-0.28882122,-1.346492,0.983778,-0.28149125,0.16797253,0.37868616,0.07274228,-0.59868383,0.73588884,-1.1546865,0.06806634,0.0012107067,0.57832813,-0.25880736,0.06309509,-0.15021989,0.26573494,0.60048085,0.39206177
0.4836209,1.097116,-0.4450843,0.27093,0.099554956,-0.021852214,0.34921056,1.2738762,-0.6376273,-0.78331614,0.41712603,0.58806247,0.81484824,0.5018423,0.00842749,-1.0474846,0.34580198,1.1400046,-0.88875103,1.0877359,1.0942839,0.7168558,1.050363,0.27569997,0.590274,-1.1335809,-1.4651632
