p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19
-0.7201327,-0.27999288,0.6567653,-0.23661108,-0.16374065,-0.8453109,-0.5619799,1.2987089,-1.4181665,-0.11685508,0.5637749,0.37123036,-0.66119474,0.6499751,0.15903687,0.14469968,0.5896771,-0.83364886,0.40522388,-0.8585847
1.2445693,-0.40542653,0.15167664,0.7246264,0.25762585,-0.052865364,0.16588774,1.0409502,-0.71964014,-0.40625864,0.6590365,-0.98159355,-0.29790282,-0.34157193,-0.21862607,-1.1664698,1.3841679,-0.8160464,-1.1993297,-0.77594686
0.7637442,-0.5043028,0.4906677,1.5948477,-0.36941797,-0.6827092,1.4162543,0.4950586,0.022541497,0.7769213,1.9050604,-0.7534129,-0.06517264,0.96245986,-0.89109623,0.61839515,-0.69210434,-0.051004108,-0.95141363,-2.3851762
1.1739023,-0.73421806,-0.40601584,-0.12634483,-0.22377042,-0.2881663,-0.12601851,2.3438017,-1.0443785,-0.44502863,0.63660103,-1.0111722,0.34689075,-0.011826855,-0.5894961,-0.032296453,0.570814,-0.9847925,-1.4970064,-0.4314076
0.1940931,-0.36854663,0.40852407,0.24852611,-0.058172554,-0.8097659,0.9536308,-0.6231992,-0.44938034,0.26944497,0.97703576,-0.020504754,-0.0095953755,-0.29055706,1.1727839,-0.08118826,0.3394882,-1.3650163,1.1430266,-0.25977445
1.2426069,0.49165428,1.4541289,0.49332798,1.0027995,-1.0055983,-0.5241543,1.3897669,-0.33629152,-1.0178466,0.52481955,-0.15656103,0.045833368,-1.3404795,1.3166574,0.28881732,0.047364768,-0.80685943,0.106134556,-1.0625329
0.9750231,-0.23495138,0.9155417,0.1255616,0.86052465,-1.07899,-0.052252334,1.3269882,-0.60230726,-1.3515496,0.91510415,-0.7665103,-0.18230903,-0.14272824,1.4697316,0.5082732,0.31346518,-0.82814604,0.2634656,-0.5839517
0.90149,-0.033047274,0.94855493,0.058968216,0.9726601,-1.2107177,-0.059670392,1.5771042,-0.5304747,-1.3925297,0.683516,-0.7302961,-0.1904509,-0.22051428,1.378556,0.40113527,0.26139793,-0.780316,0.37819496,-0.71521604
-0.8578782,0.5540695,-0.39496836,0.12307052,-0.17691875,0.3571044,-0.34883714,1.1607715,-1.7055243,-1.5684065,0.035189312,0.1455145,-0.877414,0.26426128,0.4838161,0.85029113,1.5656642,0.61888427,-0.8491487,-0.29208064
0.9724683,0.2785931,-0.36943623,0.73160034,-0.04313209,-0.15657668,1.4597237,0.5287161,-1.9245057,-1.9412826,0.9794113,0.22793017,1.6424328,0.6914101,0.029290698,1.0807111,0.9683263,-1.230719,-0.59181577,0.10422668
0.5146579,0.6131581,-0.23698236,1.7997417,0.5641784,-1.3159534,-0.6597237,2.053086,-1.657475,1.8125306,0.0068075187,-0.4501425,-0.3669566,-0.4491189,-0.11669505,-0.22982103,-0.21350548,0.1698256,-0.7853843,-1.8384463
-0.11641957,0.09014652,-0.16429208,1.7623541,0.969748,-1.351617,-0.8500742,2.571066,-1.3630759,0.6780386,-0.09639715,-0.7248674,0.4781865,-0.3928969,0.16309188,-0.9580433,0.075929016,0.23986582,0.056196943,-1.7297155
-0.2575157,-0.3765642,1.193863,-0.09578967,-0.48169604,-0.08847771,-0.92370117,1.496947,-1.1837573,-0.5539611,0.34000972,-0.19296205,0.9584999,0.030197406,0.14731291,0.4774436,0.42377862,-0.59690297,0.1793428,-0.056242514
-0.28052193,-0.38667157,1.1493521,-0.10692046,-0.38933763,-0.16675638,-0.8476328,1.4706239,-1.2721372,-0.57988995,0.38592967,-0.25464946,0.9381763,0.12816961,0.13435984,0.47197253,0.38841927,-0.6307394,0.30403185,-0.07682086
0.40632352,-0.4172749,-0.96211046,0.7631259,0.5576086,0.9025427,0.21252704,0.3612958,-0.9523366,0.25140032,0.7867687,0.12810928,0.8047615,0.4131396,0.08230221,0.8233552,1.5772998,-1.4977996,-0.33606806,-2.6077893
-0.39091048,0.22780664,0.20723881,-0.09051379,-0.19277082,-0.28020126,-0.16246188,0.41911086,-0.385287,-0.21189816,0.28507966,0.09437638,-0.13285017,-0.12403882,0.10203418,-0.12743127,0.4253779,0.20490554,0.0036024794,-0.4242116
0.32056564,-0.5842623,-0.1029387,-0.7576762,-0.28669447,0.3835006,0.13152078,1.2318993,0.1838936,0.14801447,1.0227681,-1.4407084,1.1340165,0.23241389,1.1833631,-0.21418953,0.81819475,0.24871992,-1.0986319,-0.72939485
0.28395158,-1.7002661,0.46851772,-1.0941528,-0.2926308,0.7754958,0.50775886,1.1439219,-1.1912681,0.68006307,1.4130603,-2.3330283,0.95611006,0.33763835,1.5169259,-0.6004298,0.5541356,0.13787939,-0.73060054,-1.322325
1.3548545,-1.0486157,0.89328796,-0.5697753,-0.44600847,0.20018028,0.15433672,1.8182101,-1.3863462,0.6842817,2.0414283,-1.52514,0.37937537,-0.28795227,1.3305595,-0.24566205,-0.0784071,0.25162834,-0.7278957,-0.32169524
0.372517,-0.6124983,0.102152675,-0.3418514,-0.25642982,0.32551694,-0.05079121,1.244728,-0.85024136,0.04678993,1.5036778,-0.9915473,0.5164413,-0.13915852,1.0890509,-0.19122316,0.54304284,0.22190987,-0.715043,-0.955921
-0.25251642,-0.03965563,1.5443344,-0.27240813,-0.4461254,-0.49784687,0.25832218,0.50441396,0.14468081,-0.19658127,1.0845264,0.28259537,-0.3625891,0.21981391,-0.045015275,0.767124,0.58092535,-0.5076881,-1.6483078,-0.8361135
-1.2502176,-0.5422539,0.42416102,0.7877478,-0.049363237,0.53188,0.81947684,1.0144236,-1.1737261,1.0338492,0.5953804,-0.40014553,-0.6146692,0.35238782,-0.06309573,0.94193333,-0.096894816,-0.30499166,-0.8833261,-0.48851925
-0.9511571,-0.4232784,0.3152562,0.719129,-0.43113396,0.1990766,0.792802,0.8817398,-1.158589,1.1158334,0.5027078,-0.005773434,-0.42953435,0.38443533,-0.3751114,0.99104404,-0.20841274,-0.18082595,-0.807856,-0.4898455
