p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25
0.82523674,1.2347676,-0.2101256,0.47233057,0.31730843,-0.7007861,-0.5236145,1.2813473,-0.2770848,0.055967577,0.77651733,0.9245305,-1.3587877,0.34876543,0.10612748,-0.23381014,-0.5973965,0.041190602,0.8659069,-1.0825213,-0.51810944,0.42444846,0.9311597,1.0580751,0.6666375,-0.31940252
-0.12042368,0.2573778,-0.48107457,0.93254495,1.0632411,-0.2128836,0.9550207,-0.3129615,-0.59457564,0.540403,1.4913759,-0.7680452,-0.083811045,0.79575396,0.34914923,0.3864805,-0.82539153,-0.1703343,1.0625242,-1.2382632,-0.7333324,0.24233699,-0.3198288,-0.10596061,0.7863002,0.19838709
-0.09063634,-0.27766183,0.45796892,0.028125381,1.0201877,-0.28918013,0.9882235,0.36353806,0.14784846,-0.396525,1.2629305,-0.5222432,-0.9103476,-0.22280747,-0.15448563,-0.16625138,-0.3079066,-0.5570535,0.8146741,-0.8994895,-0.67307365,-0.8609509,0.43645814,0.06462772,0.50799584,-0.16410302
0.32036406,-0.35169575,0.275681,0.86228424,0.92760766,-0.26000148,1.0146728,-0.14185154,-0.22030081,-0.33033925,0.59209406,-0.40198472,-0.790151,-0.19868384,-0.16056527,0.10061219,0.093489945,-1.2417675,0.68104047,-1.0238752,-0.9238056,-0.7719937,0.73225516,0.6557349,0.81239414,-0.3460792
-0.0765845,0.26149786,-0.6565945,0.95315087,0.9570739,-0.22800733,0.86559784,-0.35667497,-0.5501895,0.45148358,1.5766851,-0.7317108,-0.10561864,0.74646956,0.22427638,0.30210534,-0.7534061,-0.15437779,1.0257715,-1.30198,-0.5501946,0.1576365,-0.33188534,-0.065510824,0.9011929,0.19125205
0.61537284,0.2164118,0.38932016,0.4600987,0.12715401,-1.1829573,0.64877486,-0.35206982,0.3127179,0.9836523,0.37216896,-1.1131734,-0.12786292,0.4638564,-0.28923428,1.3933506,-0.26619688,-0.19305412,0.34917733,-1.053691,-0.48484403,-0.35311756,1.2598541,-0.3573371,-0.069323555,-0.4462849
0.5229638,-0.14229672,0.51220685,0.5659504,-0.24815968,-1.1304567,0.59969765,-0.09853784,0.45094463,0.99963915,0.38901258,-0.9649465,0.17791723,0.7166615,-0.23428316,1.5006521,-0.26625606,-0.45300743,0.41101506,-1.3400644,-0.3786734,-0.503212,1.284149,-0.31197008,0.35692507,-0.45966446
0.057915904,0.38052395,0.71808547,-0.05037997,0.44774792,-0.69097114,0.01426017,-0.26442453,0.6566995,0.7149881,0.51455355,-0.8869294,-0.5011838,0.21327202,-0.1328496,0.48234788,-0.432802,-0.5486515,-0.20039797,-0.86393213,-0.37400162,-0.22202647,0.42085794,-0.081746645,0.34947178,0.23918405
-0.12214878,0.15553078,0.81162703,0.15457697,0.20325758,-0.6935252,0.15687326,0.09387977,0.7487289,0.682472,0.366183,-0.6880694,-0.3164438,0.38727662,-0.0792121,0.530959,-0.3977638,-0.5250585,-0.18529396,-0.8379128,-0.42603812,-0.2691364,0.53889906,-0.09053609,0.5412426,-0.08596666
0.7213015,-0.49241847,0.5744306,0.68792534,0.17028649,-1.1359984,0.71344787,0.11945827,0.1964185,0.35600418,0.87472814,-1.4735358,-0.783944,0.13866866,-0.5016943,1.8156132,-0.25138703,-0.1515803,-0.60259706,-1.2475387,-0.5566798,-0.15302737,1.0077014,0.61234653,0.49387562,-0.41436198
0.47324988,-0.7849077,0.83999497,0.81511664,-0.099255934,-0.9232442,0.73631674,0.26802525,0.37587085,0.20067276,0.95778465,-1.4654065,-0.6536341,0.26171678,-0.6722543,1.779513,-0.4407581,-0.5815238,-0.44628096,-1.3691176,-0.40335882,-0.30350277,0.93895775,0.7270599,0.99285156,-0.49744377
0.21812621,0.3184879,0.14926475,-0.26757064,0.34058282,-0.36844406,-0.21081066,0.09223431,0.25775298,0.5779147,0.44308323,-0.8447967,-0.33716413,-0.06876286,0.02103654,0.35505718,-0.4878628,-0.32222682,-0.011501109,-0.59491736,-0.7566018,-0.109548576,-0.08596978,-0.12689039,0.48089102,0.097796395
0.067484014,0.17430674,0.19005159,-0.1707455,0.20133944,-0.25342932,-0.21589412,0.24086264,0.45253995,0.46875235,0.4223943,-0.99768937,-0.2033075,0.103756614,0.11612961,0.4349751,-0.51184744,-0.4193853,-0.007355154,-0.7547908,-0.6041277,-0.29708335,0.115031,-0.066752,0.6734565,-0.00019973119
0.4543022,0.2863901,-0.12376199,0.53709054,-0.52608144,-1.5530833,1.8986492,0.8533835,0.33894405,0.906191,0.37254497,0.6298895,-0.13747197,-0.22743008,1.0871825,-0.060534824,-0.7777798,0.4502218,1.180452,0.023837095,0.14918476,-1.4788352,0.49738455,1.8265002,1.1966894,-0.8652067
0.319193,0.29980442,-0.18304026,0.2626532,-0.32165566,-0.8604835,1.73156,0.91644615,1.0161246,0.6455447,0.35223174,0.6259356,-0.08304343,-0.37649882,1.0007882,0.080855146,-0.94518363,1.0042641,1.254362,0.14791885,-0.12934409,-1.2388589,0.79803216,1.940282,0.87980545,-1.1105015
0.19801512,0.07544859,-0.05159418,0.29993233,-0.31332767,-1.1540481,1.6373866,0.45263982,0.4322337,0.5316229,0.6208149,0.5035868,-0.20519842,-0.10469374,0.771272,-0.24393387,-0.5028083,0.60661346,1.5943722,-0.18839727,0.027540114,-1.7754899,0.4727239,1.8380455,0.6778662,-1.0525875
0.25259823,0.3321068,-0.05157763,0.5444412,-0.2025744,-1.6191227,1.9330715,0.96953464,0.31030476,0.8730179,0.14129049,0.4724222,-0.17001025,-0.09239193,1.0568471,-0.123424925,-0.7249683,0.3590599,1.1065519,-0.04184527,0.17508635,-1.6969693,0.63533986,1.8463224,1.1726019,-0.89644796
1.2117039,-0.30034873,-0.33879173,0.6608483,-0.3682073,-0.818133,1.528438,1.0083447,0.6998211,0.10289337,1.6975095,0.63664687,-0.33893654,-1.0686928,0.5644409,-0.43317515,-0.7162247,-0.5943803,1.1594557,-0.07567688,0.55021805,-0.35567963,0.73065126,0.9275008,1.334871,-0.4242996
0.21962465,-0.069681406,0.48015973,0.29875046,0.47778714,0.09602395,0.045687247,0.2244009,0.8850732,0.55023915,0.76185966,-0.13469255,-0.65105224,0.08982285,0.31760007,0.7898698,0.6020068,-0.89233834,0.53058845,-0.35677782,-0.16113746,-0.09689565,0.06269197,-0.3348792,0.78270143,0.63371193
0.34107262,0.07114843,0.39748496,0.4415908,0.44194543,0.087124616,0.11678042,0.07734554,0.96523,0.4821017,0.9483655,-0.007108741,-0.6981338,0.104721524,0.37531385,1.0044302,0.57162046,-0.8945738,0.30762827,-0.36015844,-0.19312382,-0.22012925,-0.033775963,-0.4944914,0.57497,0.85161096
0.049334843,0.6086474,0.46540973,0.3982861,0.26713917,-0.31781948,0.3674446,0.33753586,0.9861602,0.32861644,0.86470133,-0.06791037,-0.48386315,-0.050806936,0.063453585,0.94493175,0.6717145,-1.2452793,0.8275706,-0.42026705,-0.44218716,-0.2360538,0.17998388,-0.5043848,0.8484646,0.8655685
0.26215008,-0.14756377,0.37025228,0.28184336,0.50851834,0.10063745,-0.010659762,0.12866002,0.9445923,0.5804243,0.7213751,-0.081857964,-0.8081805,0.1191068,0.2809399,0.9342816,0.5086119,-0.8937223,0.39774686,-0.28375486,-0.1323755,-0.19969063,0.1809071,-0.42134324,0.7322573,0.5310678
-0.2867915,0.024828967,1.2717592,0.5785202,0.6683248,1.0144976,0.42561907,1.0207009,1.0671625,0.62711036,1.7342095,0.35494527,0.018141571,0.22867239,-0.18860896,0.24607043,0.043071274,-0.86372495,0.7755684,-1.5340005,0.29072845,-0.7208592,0.5306558,-0.35953563,0.67090094,0.4458452
