p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13
-0.019431569,0.45400357,0.19200256,1.2712184,1.2748553,-0.25041646,-0.16879445,1.3130753,-1.8027793,-0.9589665,0.7816379,1.0710834,0.08259977,-1.4146318
1.1716295,0.6298831,-0.02957327,0.48654616,1.3867058,-0.6045637,0.49208346,-0.9954371,-0.0807296,-2.4760113,-1.5772679,1.9574256,1.1601365,0.66604626
-0.21052754,0.1351805,-2.0645177,0.56469464,1.0894144,-2.305534,0.747018,-0.0021203996,-0.012348281,-1.6810753,-0.44582167,0.036881126,-0.38084987,-0.4981703
0.83731335,0.013538365,-1.357194,0.88831204,1.0222211,-1.8035525,0.58892804,-1.1979378,0.29513276,-1.39429,-0.0948806,-0.7392569,0.06742447,-0.3972863
1.2584915,-0.8155788,0.90124834,1.426498,-1.69792,0.32818937,0.53505397,0.30865315,0.08638042,-2.0632825,0.75951195,0.67434824,0.43463838,0.04970262
1.7057225,0.5375181,0.2290918,1.5380135,-0.461644,-0.33621073,0.36636594,0.057019997,-0.9647339,-0.7719737,-0.044192024,0.74875426,0.2067541,0.47449383
0.411522,-0.15986358,0.25700113,2.2692509,-1.0754627,-1.0986031,1.4642375,-0.45461157,-0.5321174,-0.7206595,0.7323727,1.3057398,0.36908242,0.14964366
0.4658544,0.060779642,0.03647175,1.8640978,-0.43336138,-0.9596542,1.0388198,-0.041627254,-0.9302119,-0.79120743,0.020344878,0.6358883,-0.029590962,0.5691352
0.48251563,-0.4458096,0.46667096,2.2992826,-0.66267186,-1.0586941,1.5946815,-0.5809492,-0.69716024,-0.47508705,0.9583289,1.2557988,0.35528228,0.8939484
0.9700361,-0.11034075,-0.50795466,1.93048,-1.5157789,-1.813204,0.99958533,-0.17916521,0.31109452,-1.9735487,0.034378164,2.0460851,0.0935719,-0.554043
0.2840217,0.020248337,-0.058886915,2.599048,-0.6233197,-0.9402977,1.4466565,-0.17028569,-0.51814026,-0.9818964,0.700064,1.1831198,0.6945097,0.43353185
2.0628788,-0.50908,1.1182227,0.8026732,-2.2820582,-0.720986,1.3584036,0.57753384,-0.47169292,-1.7260188,0.61066484,1.5341003,0.4928494,-0.1805994
0.5983272,0.6734388,-0.6858686,1.0822757,0.67878515,-0.97156465,0.6521469,0.24961945,-0.026041443,-1.4971006,0.29961404,0.38510916,0.18538265,0.120486334
1.319345,-0.024192883,-0.96580046,-0.29657495,0.93229467,-1.085455,0.13328333,-1.1236492,0.4683103,-2.0747905,-0.25320664,0.61955184,-0.21248624,-0.22356044
1.8130046,-0.30152795,-0.9226714,0.70886236,1.6379929,-0.50241786,0.30819103,-0.45338815,2.0320053,-1.3740857,-0.2932994,0.63625467,0.24338643,-0.104954496
1.6281171,0.9981766,-1.1740618,1.348641,-0.3683484,1.104029,1.2345129,-2.4127579,-0.0036644982,-2.1100323,0.15951395,1.923078,0.9607941,0.42542046
0.5653764,0.72733074,0.44900075,0.83391327,1.6757089,-0.047320876,0.7943594,-0.81133735,-0.9781971,-0.97731304,-0.039923776,0.32483813,-0.5463502,0.9173968
0.70653564,-0.1454566,0.03226516,0.6384333,1.0734143,0.28997868,-0.24276458,1.1303542,-0.3866513,-0.67977685,0.7743555,0.19593173,-0.06946873,0.59020096
0.5206548,0.9052975,-1.1361922,2.6575596,1.6474731,-0.96433914,0.089644276,0.24970378,0.30261934,-1.2351341,-1.0398483,-0.2502318,0.94028544,-1.6383885
1.0357924,-0.16684663,0.97823036,2.6746302,-0.4642352,-0.72602963,-0.35096568,-0.5259408,-0.029178768,-0.9002694,0.29511738,1.6985396,-1.1619929,0.11290371
0.24915719,1.1694247,-0.085070126,1.8966565,-0.18571512,-0.9549478,0.5659222,-0.037731122,-0.8315884,-1.0558199,-0.09921823,0.97950584,0.48799652,1.5374761
0.6247479,0.7367751,0.14343277,1.061867,0.715821,-0.826997,0.45303583,0.31488934,-0.023306845,-1.1460311,-0.34318084,0.5176253,-0.4607136,0.7729394
0.274393,-0.023609595,-0.12454432,1.982562,0.27492255,-1.2406418,1.0617411,0.731121,-0.85050523,-0.2279332,0.38417006,1.8130821,-0.79316074,-1.0641915
1.393971,-0.16462992,-0.34528455,0.96038043,-0.6732093,-2.8694677,0.4512872,1.1487818,0.57549065,-1.43171,-0.18967904,1.9011165,0.60103804,0.14453845
1.1541988,-0.3597536,0.119268954,1.0021559,-0.98970646,-1.6623596,1.3937439,2.2681131,0.6432057,-1.6926175,0.6307924,0.97984475,0.9186341,2.0891309
1.3995553,0.033283677,-0.7368982,1.404856,-0.068894744,-2.2555826,0.28300646,0.8329927,-0.060500085,-1.2663399,-0.2165541,1.2731465,0.6385217,0.48388767
0.9306933,-0.3613326,0.109754555,1.3309754,-0.3537387,-0.8368241,1.3022707,2.0491133,0.35856038,-1.698084,0.7478822,0.21429583,0.9331578,2.5739713
0.86271554,-0.6278496,0.1585914,-0.6354392,1.1224998,0.01563808,-0.2501085,0.51709306,0.61579096,-2.9441268,-0.84100664,1.2741492,0.9572131,0.518157
1.0208373,-0.4401753,0.3386115,-0.6022078,1.0107312,-0.044710726,-0.25972527,0.45818207,0.6894831,-2.801818,-0.83963084,1.0895251,0.92240715,0.094513305
1.0069077,-0.46498033,0.49094126,-0.54352933,1.0391536,-0.12428789,-0.07445826,0.50954515,0.72029227,-2.369808,-0.7213163,1.0980858,0.69333243,0.26621792
2.5554957,0.37474287,0.81426644,0.26587674,1.6820122,-0.34297615,0.6563818,1.6879746,-1.3666971,-2.0803547,-1.2724042,-0.7443506,-0.36890632,0.2670821
0.27705005,0.9462496,-0.46452013,0.64236915,0.6637175,-0.81905365,1.2975558,0.45215496,-0.18440822,-1.0076306,-0.29618227,1.140086,-0.6931007,0.70545685
1.2184116,-0.1445727,1.0050228,-0.09718428,1.2635487,-2.1060948,0.23686364,-0.078777574,-1.6296148,-1.2426898,-0.6910424,1.0983787,0.45999643,0.679531
1.1471709,-0.19188613,1.0026871,-0.010236517,1.4104115,-2.130331,0.1750931,-0.19384351,-1.4080374,-1.3413585,-0.7553399,1.0657427,0.31493437,0.7869685
-0.10002125,-1.4792272,-1.1399854,-0.13031326,2.0692396,1.3819109,-0.50007886,-0.11572734,-1.1646979,-2.5407279,2.5218253,-1.3290676,1.6418533,0.10053153
1.1986438,-1.6535426,-0.69566417,0.44586232,0.676835,-2.049452,-0.8148198,-0.621593,-0.16853271,-1.6491405,0.45633346,0.78935724,0.14350435,1.91757
0.45667118,-0.42462185,-0.9905615,0.570883,2.2592752,-1.5549252,-0.6895473,0.87557137,-0.3288877,-0.40686804,0.90928257,0.16541965,-0.121165276,-0.016567364
0.23815979,0.9420377,-0.10840778,0.58408,2.608915,-0.88760304,0.3629022,-0.5794961,-0.6540016,-1.1813042,0.96966237,-0.526238,-2.2696702,1.0777391
-1.2781456,0.65817076,-0.16219911,-0.16511592,1.3640441,-1.2669524,1.2451878,0.66953784,-0.3475045,-1.8852673,-0.17726174,0.55237454,0.49336368,0.53599286
1.633152,-1.1151667,0.9549691,0.40897086,0.97487193,-0.48679307,0.86801577,-1.0377121,-0.5335983,-1.0102891,0.71429086,1.4882358,2.0010662,0.8203205
0.6425956,-0.2892181,0.4972324,1.4237269,1.8894871,-1.8776002,0.039815754,-0.44491482,-0.982627,-0.8334006,-0.44873798,-0.34120762,2.021615,-0.05905945
