p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28
-0.65124404,0.42414004,0.3130737,-0.27699777,1.0463109,-1.3497323,-0.35505933,0.5580851,-1.5475557,0.5313425,0.17092931,1.1036178,-0.9889124,0.015492876,0.2992424,-0.54857165,0.43436843,-0.798256,0.3053502,-0.6254754,-0.043952975,0.050099738,0.13368969,0.8877799,0.79690695,0.3589678,-0.47607502,1.4208741,-0.51004153
-1.1878127,0.3991903,0.6132474,-0.386103,1.1108848,-0.9342808,-0.21573232,0.3925972,-1.2038924,0.45349097,0.43521488,1.1737951,-0.4867112,0.15834123,0.2373824,-0.4189831,0.3278488,-0.81454295,0.36050254,-0.41520062,-0.14727949,-0.0071875732,0.28356713,0.66568977,0.89489776,0.7829712,-0.25390667,1.2224548,-0.5690552
0.7306338,0.74062675,0.4726243,0.57114184,0.25979915,-0.25841042,0.20250835,1.7680709,-1.3359079,0.23658326,-0.42956978,0.27484295,0.1458378,0.006298715,0.62971413,-0.69599026,0.25628543,-0.5584521,-0.3950844,-0.90125245,-0.18628475,-0.3453605,-0.5684411,-0.026676321,0.37229517,-1.0799416,-0.91227597,0.30587494,0.029239148
0.33970043,0.122531205,-0.6679971,0.40773883,0.13171196,-0.94162184,0.4398742,0.9560875,0.29888937,0.23790783,-0.53840613,0.7983779,0.032340433,0.012083218,1.0756701,-0.48983824,1.0361097,-0.7768932,0.559454,-0.6355619,0.22834267,-0.24740465,-0.9519694,0.3892878,-0.20487268,-0.33660376,-0.2185167,0.42388204,0.34803864
0.7027495,0.37364095,-0.16609022,0.12697043,0.5562756,-0.85917145,0.06472192,0.927716,0.00029552376,0.008594709,-0.73888576,-0.028500875,-0.70100397,0.3395158,1.263395,-0.5909875,1.2513894,-1.0694062,-0.14815322,-0.27447182,0.25963438,-0.7033431,-0.71398056,0.3447726,-0.03387273,-0.5080783,-0.5474151,0.39508253,0.1454824
0.6988977,0.71490985,0.35683146,0.6155152,0.22031273,-0.33599794,0.17587277,1.6569418,-1.2655934,0.26982248,-0.43643048,0.36346036,0.054042526,-0.0030478842,0.62913764,-0.70619285,0.23152609,-0.5214998,-0.45401978,-0.96935546,-0.24000795,-0.26973227,-0.5552606,-0.12425302,0.24759291,-1.1635828,-0.91893697,0.26262596,-0.02272459
0.076186255,0.81450725,-0.61739975,0.14332452,0.45067936,0.2126572,-0.9651623,1.0158663,-0.66451657,0.6685146,-0.049649805,-0.35742217,0.84572864,-0.0055264705,1.05799,-0.39215183,0.96437126,-0.55294764,-0.28621083,-0.5052566,0.8935803,0.5704741,-0.059749674,0.3266608,0.0069359946,0.4614726,-0.6497403,-0.34814042,0.5454179
0.41122892,0.813556,-0.46513075,-0.030052396,0.32018265,-0.2517258,-1.3139992,1.1852827,-0.7275297,0.57205844,-0.034512572,-0.28683203,0.7315395,-0.00625055,1.115943,-0.7061561,0.88786525,-0.7334631,-0.46968606,-0.32396156,1.030121,0.91046566,0.004029634,0.17237993,0.116581455,0.3218893,-0.46195883,-0.26272085,0.6169578
-0.3712822,0.5868356,-0.48083168,0.48783705,0.2348083,-0.071615204,-0.5019151,0.25413573,-0.1751344,0.64721096,0.24461928,0.27299255,0.24740525,0.057182543,0.69696075,-0.5777714,0.47096047,-0.6141045,0.20577441,0.44742557,0.3430952,0.45451343,-0.42157534,0.41140008,0.21013008,0.22131993,-0.4868149,-0.35559648,0.29067355
-0.23870103,0.46744093,-0.33878458,0.3693696,0.071849845,-0.39087862,-0.59922534,0.5490424,-0.11632221,0.42996052,0.18842088,0.21386516,0.2163049,0.24333584,0.6826299,-0.7846244,0.38193768,-0.56965935,0.2053368,0.43274656,0.48709846,0.45709488,-0.31045792,0.16423263,0.42813006,0.21975634,-0.35743806,-0.15532768,0.3541986
0.6004117,1.8792362,-0.71219,0.4374802,0.67208767,-0.24209692,-0.6806562,1.1006602,-0.38308263,0.2741349,0.23685493,-0.43779162,-0.20287591,-0.52994525,1.2095077,-0.7608205,1.0276648,0.015166207,-0.35065234,-0.0763621,0.97537684,-0.3692773,0.007929941,0.6422716,-0.16588548,0.37734857,-0.8223646,-0.0020971955,0.77298796
1.0571431,1.7597159,-0.6447325,0.3907151,0.62129825,-0.78110135,-0.77231133,1.1162564,-0.343568,0.30791128,0.20126985,-0.360298,-0.4739526,-0.5774673,1.2883246,-1.0577681,0.77222127,-0.15129922,-0.41740343,0.043129552,1.0233371,-0.08471739,-0.18250439,0.3353528,-0.013118113,0.26773322,-0.74650925,0.2394984,0.8801376
-0.24281429,0.9706773,-0.006088896,0.60843486,0.57319015,-0.059924904,-0.27729312,0.30027184,-0.09840401,0.34450635,0.16983071,0.42752156,0.34998634,-0.15486412,0.54818076,-0.2672834,0.21941423,-0.44851407,0.3984468,0.3218007,0.0329087,0.09246336,-0.17971008,0.5616886,-0.014521743,0.03854691,-0.63585365,-0.34224433,0.2981729
-0.14020617,0.84770256,-0.053688213,0.59977853,0.53839254,-0.28877714,-0.44360474,0.5307618,-0.050567735,0.2599182,0.1552163,0.49806932,0.2833524,-0.095882885,0.4589263,-0.5267233,0.1565566,-0.55015564,0.40966356,0.32904565,0.21208173,0.19472872,-0.26162225,0.37748,-0.09684837,0.017370975,-0.5136248,-0.26951388,0.49547747
-1.7248092,0.59941614,-1.2390299,-1.0559449,-0.41202658,-0.276536,-0.55575764,1.5504922,0.09001984,0.99778736,0.23995762,0.70900226,-0.64642495,0.5931131,0.35957134,-0.23416318,1.9158369,-0.6809112,0.6346106,-0.58858454,-0.1204597,0.5732969,0.7860765,-0.4979497,0.7746758,0.2392619,-0.24471247,1.341307,0.5021975
-1.9459522,0.6588683,-0.81938756,-1.0159516,-0.46390352,-0.013372794,-0.7165833,1.6007199,-0.08662039,0.5359342,0.33311605,0.10708597,-0.6109544,-0.0185822,-0.12014144,-0.54860383,1.5905765,-1.1563377,1.1622195,-0.5613975,-0.3357123,0.009847552,0.29115364,-0.70053625,1.0795655,0.4267721,-0.060106978,1.2031096,0.43467402
-1.580955,0.3915534,-1.2092657,-1.1302522,-0.5233108,0.1022925,-0.87982535,1.4120167,0.21070404,0.569983,0.023946865,0.30707863,-0.49535337,-0.019883692,0.32484803,-0.5535735,1.8009819,-0.9949923,0.4370291,-0.8697076,-0.50580174,0.31941193,-0.15257482,-0.39727044,0.8941221,0.2764785,-0.017740022,1.2169437,0.28183505
-1.7184442,0.37298843,-1.3846533,-1.0199405,-0.6051913,-0.36323667,-0.5439224,1.6440239,0.08042788,0.9234744,0.21417268,0.8629182,-0.64781433,0.5562062,0.29243988,-0.35320526,1.8598655,-0.70808595,0.62543976,-0.6509552,-0.21539067,0.18005317,0.682137,-0.3030432,0.78305286,0.2056475,-0.28175452,1.2979373,0.48566628
-0.6050967,1.4929404,-0.64971817,-0.509943,0.37925676,-1.6818378,0.016679127,0.36762235,-0.8688381,0.76144004,-0.14491092,-0.2233996,-0.65049845,1.4423116,1.5881125,0.21248037,1.4280103,-0.8769339,0.60822356,-0.42375508,0.29697177,0.54125047,0.21323423,-1.4288437,0.1904529,0.613912,0.5176685,0.8795765,0.52237403
0.5445567,-0.22995487,0.3786931,0.06773433,0.6014378,-0.77400446,-0.12499081,0.79217964,-0.7795652,-0.41979513,0.1036014,0.91289765,0.70924157,-0.5545166,0.5886056,-0.32104695,1.001949,-0.22476086,0.27581587,0.22431631,-0.2638933,0.3176537,-0.1691961,-0.08289952,0.5860115,-0.48721412,-0.2519715,0.05724727,0.25076628
0.46439162,-0.16784514,0.41729754,0.09473813,0.4773523,-0.709894,-0.14755118,0.7828125,-0.64318424,-0.70567614,0.29922083,0.7457716,0.68422824,-0.6771176,0.72263753,-0.31885555,1.1430773,-0.07644162,0.35141394,0.22182037,-0.3098181,0.54491824,-0.30348063,0.062837034,0.34918872,-0.41829976,-0.412572,0.22517839,0.25192076
