p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
0.86054844,-1.3477622,0.44970047,-0.09522275,0.15602592,0.15437584,1.0258285,-0.5922541,-0.70640856,-1.0020071,0.32373202,1.0738949,0.031428605,0.14343499,1.1217437,1.080353,1.2619693,0.40511137
1.5041487,-0.07259729,2.2226093,0.0047005517,0.6825822,1.0272727,-0.14024638,0.68640727,0.2587748,0.54372764,0.70385194,0.5882171,-1.1756616,-0.19791144,1.1725734,1.3054657,0.8835925,-1.2761931
1.1150911,-0.20572135,1.9357616,-0.22320537,1.7845149,0.23585947,0.5558827,-0.2732044,-0.8900444,0.65810156,1.1853198,-0.46306863,-0.8365542,0.54966253,0.48272005,1.515876,0.7075463,-1.1592776
0.1434059,-0.76310533,0.10835477,-2.7427366,-0.41258356,0.94666547,-1.3548322,-0.62414896,-0.86540025,-0.8812213,0.68300223,-0.21385191,-1.1282399,0.81068534,1.1261317,0.23619252,0.45857722,-0.84226835
-0.32518563,0.7741268,1.7174355,0.20729603,-0.8454801,-0.055083334,-0.5650572,-1.0043217,-1.1984009,-1.4251372,0.4678684,-0.4477222,0.27104914,1.7725612,-0.0007124428,1.304213,0.5472779,-1.4486659
0.19903326,0.84677327,1.3977271,0.52299774,-0.036389925,0.9367015,-0.028518656,-0.51311547,0.5294601,-0.15217903,0.50076944,-0.2164214,-0.67857885,0.28162542,0.3158866,0.41612807,1.1134866,0.16947494
-0.087724485,0.28926808,1.2104175,1.0840596,0.27586305,0.8051633,-0.34398478,-0.40942404,0.7563415,-0.36419874,0.52987283,3.3592652e-05,-1.1322384,0.67121136,0.11580456,0.23622787,1.080398,0.4347968
0.5866968,1.2998534,1.4979883,-0.45305914,1.182878,1.6630116,-1.2623289,-0.44057688,0.4160722,-0.6346773,0.16385841,-1.0451548,-1.1277678,-0.1127545,0.47788095,1.0052391,2.2591069,-0.2707859
0.7310651,0.23984341,2.298344,-0.71943176,0.5175552,1.098555,-0.54953176,-0.032543827,0.2021333,-0.56311744,0.13616799,-0.074230544,-0.5576527,0.5664843,-0.68182755,1.2761811,1.6834006,0.16902737
1.8522632,-0.08710595,1.3685707,0.20500869,0.39865866,0.76035535,-0.3605693,-1.0203589,0.34266424,-0.6429478,-0.18582314,0.6205282,0.076993234,0.91287124,-0.33999258,1.5512719,2.6723454,-0.67447805
0.13834882,0.057383113,0.7372443,0.9961084,-0.7985292,0.14627606,0.41007382,-1.3001136,-0.35093018,0.06979192,1.002565,0.17185754,0.581255,-0.50080186,1.0986788,0.40304527,1.4345853,0.062426116
