p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
-0.83167744,1.3507038,1.984523,1.9918799,-0.36934814,0.11872501,-0.93828624,-2.3766193,0.20655806,0.08246706,2.637289,0.086473405,1.030756
-0.5274404,0.21811289,2.0746887,1.8911445,-0.90816706,1.3121605,0.2893216,-1.490421,-0.25338918,0.32184157,2.4429464,-0.1281758,1.9524037
-0.38309774,0.38068438,1.1719198,-0.73598987,-0.8246397,0.53220934,0.05166369,0.17518736,-0.2975018,0.8220906,1.6283375,1.1292713,0.78545254
-0.67949164,0.3224209,1.2479235,-0.9371984,-0.8090497,0.36556917,0.15591738,0.21636283,-0.63787377,0.81639564,1.490574,0.97057384,0.92446864
-0.2834216,0.09983034,1.2599415,-1.150331,-0.7961451,0.34181952,0.19999121,0.06677608,-0.48642215,1.1436001,2.1551259,0.9691437,0.753661
-0.7276225,0.22371438,1.372137,-0.93528104,-0.7183897,0.39705962,0.047327034,0.21770974,-0.52055806,0.83547187,1.3169901,1.0147544,0.7289263
-0.82252944,0.23777999,0.87187594,-1.3415959,-2.6356091,0.022310339,-0.1468988,-0.18686844,-0.37762323,0.616859,2.4235666,0.022644924,0.5977367
-0.60003114,0.29881966,0.47443688,-0.41099367,-0.59778833,0.6150335,0.24492289,-0.3691066,-0.6418366,1.0778883,0.62024915,0.06590294,-0.90526396
-0.09958707,0.8050339,1.5768446,-0.16733323,-0.86852443,0.99686587,1.1428242,-0.517617,-1.1405884,0.32402593,1.847019,-1.0602036,-0.27149928
-0.33561426,-0.1626911,2.494595,0.69953954,-0.38868764,-0.7671577,0.31433278,0.18382059,-0.1693365,0.93377507,0.90317273,0.32421005,-0.09486887
-0.34860247,0.6161801,1.8190666,0.68869615,-0.9187072,0.122830495,0.91902375,-0.40237346,-0.5214526,0.36321756,1.7806644,-0.28590682,0.7766124
