p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9
2.0452826,-0.98757136,-0.07173196,0.38503763,1.8939595,-0.07145312,0.7233965,0.30493608,-1.6015811,-0.7158547
1.2070093,0.5852457,1.0894192,-0.5336843,1.4606516,1.1645186,0.46928468,-1.2213448,-2.876824,-1.0507576
0.78529453,0.22271621,1.2087817,-0.9501811,-1.0841669,0.53315055,3.044747,-0.068969026,-0.801763,-1.6241468
1.0080323,-1.0813919,1.699043,-0.37635475,-0.9514064,-0.12382237,2.1876292,0.6520482,-0.4867183,-1.8747139
-0.109737344,-1.3034925,1.8142766,-0.0032821863,0.082233526,2.3610098,0.5600519,0.97112393,-1.2163624,0.34056324
0.06086464,-0.028019302,1.40987,0.31915182,0.9452238,1.4945076,1.3881923,-0.51674265,-0.382273,-1.4961506
-1.0778998,-0.3223344,1.985817,-0.84529275,0.79643023,1.1269933,1.9446833,0.8737356,-0.24141005,-1.8003243
-0.09686258,-0.3882317,1.4107515,-0.21955776,0.5654059,1.011863,1.465794,0.6524515,-0.30560824,-2.1620126
-1.3344059,-0.5730991,1.5518852,-1.2460787,0.7135655,0.5012775,1.9351863,0.5312879,-0.7907187,-2.1642325
-0.35045272,-0.7281479,3.0452335,-0.8641304,0.9786885,1.4957681,2.6401315,-0.29462168,-0.36341906,-0.7305717
-0.8246263,-0.42297143,2.0052154,-0.37819427,0.7426964,0.73715335,1.9645363,0.73385674,-0.41886815,-2.1514506
0.1969013,-0.75329053,1.8673874,-0.59527254,-0.14519197,1.5279882,2.6933482,0.95142597,0.23899768,0.7815561
-0.1419805,0.31705645,-0.07369925,1.8468465,1.0580047,0.01534125,1.6405565,-1.3127421,-0.99647504,-1.7703639
-0.07101275,0.23196849,0.06574721,1.0956709,-0.7033162,-0.8587992,0.6280489,-0.8532739,-2.5490015,0.040340878
-0.24032578,-0.44343922,1.0966222,1.6907945,-1.4338632,-0.2212074,0.5830024,-0.7441989,-2.6195838,0.96635026
-0.8116026,0.0069029247,1.4219549,0.18033272,-0.19583182,-1.7825356,0.36033082,-1.1678698,-3.1849504,0.2902651
0.72125304,1.4446436,0.48852184,-0.037768975,0.3184142,-0.45528466,0.19177505,0.8625734,-1.7719605,-0.8071881
-0.29943368,-0.8326152,0.036033325,-0.2772988,-0.4797672,0.38635248,0.5452537,-0.04539229,-1.8734933,-0.68424726
2.0882807,0.9004254,1.4249035,1.5772101,0.26724815,-1.5076904,1.1169118,-1.3152664,-1.9581856,-1.1091561
-0.13870087,-0.65418535,2.757875,-0.7245725,1.6969529,1.1480436,0.14111318,0.54963756,-0.6076753,-0.6504905
1.6885337,0.04354499,0.95621336,-0.20176134,1.9669851,-0.42449254,1.172421,0.16061522,-0.5748136,-1.8427585
0.4020958,0.13555887,1.0575339,0.7810908,0.17640425,-0.025598206,0.6111995,0.65177983,-1.1079892,-0.021299263
0.08509757,-1.3428549,1.6595762,-1.5749454,-0.92842054,-0.26482087,0.88267076,0.62904215,-1.7197908,-0.13775375
-1.7166381,-1.4914703,1.5889986,0.541684,2.355815,0.85722625,2.888065,-1.4907055,-0.7380254,-1.1320559
-1.9059583,-2.1425502,1.1568137,1.9523455,1.6570884,1.4879955,2.0114958,-1.008193,-1.071842,-1.1243135
-0.70921725,-0.79297847,1.1963028,0.37461978,2.1065934,0.46360132,2.6303723,-0.9947887,-0.95623815,-1.5305216
-1.1892186,-1.7164447,0.7309235,2.1897426,1.1592342,1.2268587,1.7123741,-0.23046382,-1.2234546,-1.5696744
1.3182812,0.5814299,-0.12250778,-0.84376043,0.09909643,0.17759638,2.5426276,0.05816378,-2.1522448,1.2277364
1.1034656,0.28954634,-0.27134317,-0.56321913,-0.018634738,0.3542593,2.707805,0.16937466,-1.711548,1.2075986
0.89883286,0.2970545,-0.2369092,-0.54071456,0.05476931,0.40455085,2.4060073,0.24802175,-1.6496865,1.1679461
1.9852942,-0.90157694,-0.54670537,2.967747,1.1082108,0.42000887,1.5527,-0.4683792,-1.9701848,-0.55096394
-0.28415626,1.5884056,0.18904075,0.5527012,0.2381811,-0.25314352,1.4271386,0.6272966,-1.1023552,-1.1234094
-0.5009149,0.28196874,-1.0298493,-0.9839977,0.40637153,-1.7207494,2.7030833,0.6331723,-1.8260413,-0.8356456
-0.65544575,0.46268514,-0.94923013,-1.0473245,0.3936576,-1.6666272,2.7271304,0.6166754,-1.8924047,-0.80156106
2.6424627,0.5403985,-0.587298,1.8196324,-0.6522,1.0126833,0.5047068,0.018007284,-4.0531855,-1.0999497
-1.566383,1.2175133,1.3231131,-1.3980486,-0.1916134,-1.5531095,2.8693564,0.061573386,-1.0476853,-1.2705034
