p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27
-0.042059924,0.22385506,0.5610162,0.35455185,0.8193114,-0.46041846,0.41863203,-1.3391597,-0.503386,-0.9862067,-0.2651388,0.0017847461,0.1370663,0.19048902,0.50297695,-0.18361492,0.0015689796,0.7244892,1.1463293,0.30258483,-0.47628495,0.34007743,0.41927698,-0.4648106,-0.22173953,-0.13425678,0.7373772,0.6252532
0.039286412,0.2936756,0.62043387,0.57971525,0.59212875,-0.30019706,0.54620403,-1.0613266,-0.4856506,-0.6096246,-0.5280125,0.14067137,0.070708625,0.15295464,0.27233437,0.12966175,-0.44647726,0.44074407,0.71025366,0.13125385,-0.76255816,0.56688803,0.3478076,-0.6178143,0.17008701,0.19510278,0.32396808,0.57237136
-0.65020806,0.5656766,0.2922294,0.8825519,-0.04249047,-1.2830864,0.21682648,-1.724142,-0.5744166,-0.47181436,-0.576253,-0.33317584,0.5235332,-0.3619815,-0.48072302,-0.7874305,-0.34692284,1.2690356,1.0977665,0.16989593,-0.32890686,1.1700721,-0.13897927,-0.24212958,0.5158419,-0.30492553,0.13787465,1.155294
0.08200459,-0.011420278,0.27344108,0.6594693,0.02023545,-0.33870137,0.36526975,-0.46054482,-0.06059134,-0.058935117,0.15647131,0.4159466,0.029209165,0.38307312,0.06731483,0.49778545,0.2766412,0.62702125,0.53699285,-0.1320968,0.08303524,0.025723394,0.25723302,0.23982811,0.70184916,0.6834189,0.31269532,0.2826366
-0.51082903,0.09729274,0.9040302,0.23099788,-0.15275165,0.4156163,0.23342974,-1.3701402,-0.46321982,-1.3535585,-0.036994833,-1.1641679,0.20721342,0.6098872,0.0056398613,0.6042093,0.64353657,0.94854033,-0.09868263,0.8317771,-0.34414127,0.24128398,-0.55671763,-0.17897096,1.5521162,-0.33552596,1.0290421,0.4884649
-0.29037386,-0.101766676,-0.08140471,0.37060088,-0.53473616,-1.1575189,-0.08519861,-1.2037398,-0.6238196,-0.7740031,0.75974226,-0.70541644,-0.35621253,-0.36674476,0.0912571,0.2510361,-0.6868064,0.28713515,-0.21862093,0.96816134,-0.21002617,0.060901057,1.3620343,-0.18587445,0.43957415,0.24781667,0.74236614,0.57767946
-0.8363924,-0.33316335,0.29622275,0.44727403,-0.24518697,-0.046791617,-0.11820141,-1.1620046,-0.3612395,-0.795256,0.90509325,-0.726888,0.63326705,0.002403074,-0.47631833,0.55386394,0.08194201,0.12480552,0.19469896,0.82589614,-0.34471986,0.07530134,1.1110779,-0.1935005,1.0258101,0.104931906,1.104918,1.0370523
0.60206556,-0.3328166,-0.6670641,0.7920124,-0.58851546,-0.66433144,0.33209702,-0.82255965,-0.12977773,-0.67177844,-0.17755267,0.7935917,0.30669403,-0.0929019,-0.1585465,0.71007335,0.8250871,-0.27835405,0.1850922,0.68314075,-0.34008008,0.82447606,-0.52850217,0.15141673,-0.31236672,-0.42706794,1.2382834,0.64282054
-0.41747832,-0.26602104,-0.029802507,1.1226847,0.0029024978,-0.49288857,0.4294133,0.3585964,-1.8814806,-0.58073646,0.6661599,0.4044357,-0.54846084,-0.5051242,0.3864876,0.81994927,0.7058403,0.84888774,0.93685794,0.1442591,0.63235426,-0.47979835,-0.52027136,-0.6804916,0.56841123,0.602068,0.29901496,0.13642697
-0.03493577,0.24980637,-0.6274378,0.28723496,0.22371256,-0.941828,-0.17084216,-0.1661084,0.10308226,-0.58100843,0.8080319,0.09349477,-0.7171432,0.85308117,1.1820153,0.6197502,-0.09235797,1.0595963,0.41092527,-0.26924473,1.0148796,0.38925293,0.33059728,-0.2692648,0.96780235,0.9782824,0.69815266,0.18158832
0.78932565,-0.037147764,0.4723105,0.29086024,0.35600904,-0.95648247,-0.05973571,-0.85556364,-0.2122753,0.22531912,0.76625985,1.0842528,-0.18269977,0.18931602,0.86224574,0.09140767,1.6496809,1.7850919,1.672965,0.58940244,0.9053998,0.16628636,-0.59755826,-0.1624005,-0.55219173,-0.50464565,0.5236285,0.23145239
-0.0903691,0.3979837,-0.012337122,0.6928742,-0.6597682,-1.6588254,-0.39484936,-0.8740434,-0.61365694,0.3725771,0.7357422,0.6710159,-0.14758538,-0.44820407,-0.3482948,-0.3511125,1.3927699,2.0979373,1.4097294,0.15226185,0.6576002,1.0346134,-0.50349486,-0.049949948,0.34107387,-0.5376605,-0.14320762,0.42036456
-0.5255798,0.9046327,1.0612327,0.36407295,1.7733464,-0.20552827,0.6163612,-1.4765513,-0.3550308,-1.0908211,0.24196574,0.16772322,0.57851356,0.5649214,-0.042538896,0.32570553,-0.88262784,0.6503719,0.5031162,0.48650682,-0.72861224,0.71446437,1.1386292,-0.04065999,-0.35217345,-0.3899098,0.52473664,1.2812496
-0.5868648,0.08383248,-0.18071087,2.0100935,-0.08219889,-1.6408362,1.1980268,-1.0500335,0.18924968,-0.8884824,0.1494294,-0.851387,0.2723981,-0.26226136,0.54910237,0.7179605,0.2893395,0.14049748,0.6535096,0.049812645,0.20958199,0.8393826,-0.2530098,-1.0819509,0.33327124,0.6906905,-0.78798026,-0.4996066
0.43819377,-0.39061734,0.35602063,0.4440098,0.028511047,0.097956665,0.63388044,-0.44984925,-0.59459054,-0.85728645,0.22878674,0.102065675,-0.88320017,-0.08874978,-0.4897205,0.8768915,0.921291,0.968339,-0.019714875,0.20447083,-0.023790082,0.32754666,0.13238204,-0.001771661,0.49051347,0.19624783,0.23514701,0.37092406
0.56139815,-0.60256994,0.49056998,0.3378829,-0.29624268,0.027148586,0.19360848,-0.76188725,-0.80519533,-0.67647356,0.29183635,-0.37042573,-0.7851158,-0.3392477,-0.5444212,1.2879988,0.81361854,1.07261,-0.13385187,0.52200013,-0.19648887,0.10574152,0.06893341,0.2698864,0.38308442,0.27453265,0.36860746,0.23926708
0.54876137,-0.3333101,-0.34460604,0.47760913,1.2854576,-0.4305305,0.5791432,-2.0050855,-0.13636298,-1.886132,0.018209359,0.37357518,0.36546612,0.244159,-0.978971,-0.42661446,1.5025579,0.92861897,0.9845749,0.019368157,0.90914875,-0.18231212,0.34657583,0.05439235,0.03698862,1.4620935,0.30186397,-0.1669154
-0.46376908,-0.39986053,0.49708265,1.0185953,1.4248776,-0.6064969,0.20673461,-0.3418129,-0.7367322,-1.1704494,0.41292113,0.68752617,-1.0676044,0.12554201,0.707252,0.84966624,1.4513972,0.6725237,-0.120302744,0.021032045,0.42390287,0.5879098,-0.6467124,0.56688637,-0.25025943,0.27707604,0.09036086,0.6738839
0.6087005,0.87476623,-0.2968976,1.5172561,1.3511965,-0.72577786,0.4694461,-1.1703846,-0.7994023,-0.95801485,1.2829647,0.2715807,-0.6444024,0.7377134,-0.8955232,0.7768598,1.2141453,0.5118144,0.095647566,-0.045565933,-0.6026406,0.86061805,-1.2112311,-0.017095147,0.29515666,1.0683725,0.013010466,0.6028298
-0.35874283,-0.7213207,-0.57585514,0.80325234,0.8320649,0.23109637,0.6650564,-0.49767974,0.021729438,-0.47614497,0.29442525,0.19156952,-0.5871609,-0.5787648,0.9829962,0.51726633,1.086003,0.88733757,0.5736896,-0.2760421,-0.24586013,0.30089408,0.32387412,0.41273373,0.12891077,0.5110483,0.68203783,0.27504367
