p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20
-0.67726153,-1.1151122,-0.38748798,0.16104077,0.18852386,-1.7421796,0.86830646,-0.60817635,0.34211296,-1.4177231,1.453248,0.82308656,-1.8272197,-1.1553942,1.3978043,-0.7702514,-0.072466165,1.6007264,-1.5591111,-0.7011516,-0.6797849
-1.3018852,-0.5384768,-0.18735617,-0.26088175,0.10039112,-0.21491234,0.13545999,1.2604651,-0.22704515,-0.3317845,0.58229494,0.81715745,-0.6680387,0.18643507,0.709142,-0.15985242,-0.79983574,0.410609,-0.17158416,0.112397216,-0.66735274
-1.2905962,-0.5926467,-0.48648128,-0.4785279,0.20265758,-0.1955958,0.12326451,1.1808561,-0.24322116,-0.27548662,0.5573064,1.1679225,-0.7446789,0.20059499,0.4885418,-0.4046117,-1.012746,0.27259454,-0.032749195,0.1598546,-0.41379222
-1.5874636,-0.390918,-0.3129425,0.2228195,0.27837515,-0.26380318,0.06464977,1.1365266,-0.5622072,-0.5527675,0.8422346,0.8812553,-0.89709485,0.35412857,1.0018184,-0.040357642,-1.0228059,0.7480658,-0.0005919983,0.2329467,-0.16270411
-1.2100604,-0.44104108,-0.40220392,-0.31844455,0.041993443,-0.18502267,0.22974621,1.2233174,-0.3186964,-0.33526686,0.49900553,0.9784658,-0.65181077,0.12910612,0.63848287,-0.2604906,-0.8078606,0.2838594,-0.04705389,0.31741232,-0.7843525
-1.5398027,-1.0402063,0.059217073,0.6553261,-0.41106555,0.55828846,-0.15538906,1.603452,0.3491565,-0.44349304,0.55579615,1.0196431,0.051308453,-0.53417647,0.33198184,-0.33393157,-1.8405432,1.0102895,-0.5627861,0.23640683,-0.6896969
-1.0113132,0.23579346,-0.07157217,-0.12581347,0.20535265,0.060595147,0.47331977,0.8977018,0.3299325,0.37714213,0.8161355,0.573417,-0.053511266,0.21199189,0.4463575,0.06656136,0.10221188,-0.07205269,-0.18545884,-0.44723347,0.17369013
-0.21520391,-0.1797868,0.60882354,0.6120276,0.17310219,-0.40852332,-1.0476841,1.1891193,-0.028240312,-0.65659535,1.4137706,1.1012998,-0.14581679,-0.4756882,0.7974774,-1.7927226,0.23871714,-0.47674325,-0.8904804,0.47263682,0.72248334
-0.8061151,0.7782097,-0.20552939,1.3304229,-0.54653174,-1.5693915,-0.27980843,0.73850703,-0.06538218,-0.69630593,0.94299424,0.25605825,-0.0088065,-1.3641887,0.7284621,-0.09297426,-0.6287622,0.08123517,-0.26320463,0.60642505,-0.017828912
-0.043216404,-0.08246736,-0.088531025,0.49723476,-0.1407218,-1.0005217,-0.17612632,0.5888343,0.075757116,-0.29218286,1.0935571,0.9187366,-0.7162482,-1.4592892,1.2535597,-0.8836012,-0.07719513,0.11033366,-1.3907403,-0.16556676,0.4894636
0.05750114,-0.09852614,-0.12041197,0.47089654,-0.5070973,0.456422,-0.28755018,-0.2365521,-1.457844,-1.0717574,1.7908535,0.7153911,0.307241,-0.49566832,0.2861549,-0.3122128,-0.37626517,0.5881025,-0.1242012,-0.82368493,-0.18013163
-1.2795452,0.08570214,-0.53812677,0.092567004,-0.17135957,-0.1871247,1.3835468,0.6706905,0.65153277,-1.1912149,1.3645865,-1.2904512,0.33937216,-0.7220103,1.2574332,0.19206229,0.12694162,-1.1433729,-0.40773973,-0.19694135,1.0252744
