p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18
0.03768257,-1.5019139,0.059031956,1.3316892,0.78179955,0.27747348,-0.21593921,0.8507167,-1.671527,-0.03128794,0.95101565,-1.0246928,0.41174144,0.38996983,-0.8318484,-0.9419125,0.69861096,1.0351746,0.3851675
0.41376588,0.09604675,0.33644378,0.79192513,-0.029940633,-0.23273543,-0.2863365,1.9330425,-0.97066706,0.18773325,-0.04642627,-0.74570996,-0.6513261,-0.09965415,-1.2575661,-0.3557494,0.09427779,0.60785747,0.9803923
0.45083553,-0.5121137,-0.056187868,1.1558701,-0.28762826,-0.30436563,-0.95240426,1.3206009,-1.1519274,0.2957918,0.45719975,-0.8964347,-0.2921285,-0.63459,-1.550697,-0.5730043,-0.018352143,0.3080286,0.9206724
0.08062352,-1.4245082,0.0069757295,1.2275448,0.7097555,0.2813135,-0.17018898,0.8207741,-1.7297779,-0.11695235,1.005275,-0.9620711,0.3894282,0.32239157,-0.87873465,-1.0166916,0.79877156,0.9661877,0.37933064
0.55120015,-0.81399477,0.95031774,0.17122105,0.37143466,1.0082979,-0.62010807,1.1766617,0.3228367,0.28974062,0.95038956,-0.7948212,0.5180314,1.0116578,-0.23407245,-0.8236722,0.80047244,0.0635725,1.1957444
0.8378513,-0.82467484,0.9200628,-0.1135679,0.21088034,1.1943527,-0.5032678,0.7832628,0.16372502,0.077052906,1.1732693,-0.9265013,0.3763909,0.93450695,-0.38194034,-1.1127796,0.6256095,0.14137454,1.3710952
0.892119,0.04861103,0.541072,0.4438927,0.22051686,0.6443129,-0.27684745,1.1128922,-0.29101586,0.16367173,0.5166695,-0.32330668,0.5705575,0.5845806,0.09063442,-0.47374904,-0.27437302,-0.26912954,0.6217892
0.85911596,-0.09144546,0.71725917,0.29597872,-0.1163266,0.6109825,-0.26678807,0.8344613,-0.24619928,-0.008999204,0.59222764,-0.3441234,0.33539715,0.53895515,0.153878,-0.4596776,-0.1938332,-0.17231813,0.66787434
0.78798515,-0.17110321,0.6373554,0.34071,0.5759753,-0.10237986,-1.2394656,1.0229882,0.13267943,1.1701721,1.0742285,-0.61235416,-0.37637827,1.4301456,-1.4997576,-1.7251986,0.47652546,0.06885827,0.4261687
1.1068414,0.0035423764,0.51872414,0.04678652,0.4512581,0.082718365,-1.0090642,0.8021628,-0.113761835,0.79269433,1.0646619,-0.9208568,-0.6204647,1.2713239,-1.7563071,-2.0247898,0.405533,-0.17362323,0.56476074
0.89396936,-0.14610548,0.47342482,0.44165206,0.37943825,0.68700665,-0.48257726,0.72293967,-0.2666082,0.6256146,0.1208594,-0.22925285,0.29558903,0.7850377,-0.029892836,-0.2751963,-0.21223381,0.0014999054,0.3851208
0.8612382,-0.07622603,0.6263139,0.4234051,0.3793541,0.6180181,-0.5098475,0.6207389,-0.32084638,0.35581097,0.24560368,-0.26533863,0.23408027,0.702117,-0.062224545,-0.45291105,-0.1703758,-0.05446634,0.5662809
1.9703515,-1.2794282,1.9677682,-0.3672289,-0.20119235,-1.2207221,-0.5021131,1.5776308,-0.71951675,-1.8152146,0.8541202,0.20224336,0.6757856,0.21660458,-0.30193394,0.953243,-0.19685358,1.281455,-0.11605817
1.7611227,-1.066168,2.3588927,0.09117512,-0.08619078,-0.7022619,-0.7486524,1.3254766,-0.9267903,-1.6115625,0.02362321,-0.14321077,1.1017121,-0.09775876,-0.06101111,1.3402126,-0.3763956,1.1864785,-0.17252325
1.3414311,-1.1407954,2.1946583,0.13575089,0.035973508,-0.9269653,-0.26108775,1.5174185,-1.0558096,-1.6012353,0.597736,-0.24385953,1.1504253,-0.6071015,-0.48101196,1.1863799,-0.12628415,0.8211311,-0.06242327
1.7965262,-1.2182537,1.9695464,0.005876512,-0.24963361,-1.1690454,-0.44719172,1.6851819,-0.66227984,-1.7610857,0.86057866,0.34761,0.6924701,0.007522454,-0.3683337,1.0065639,-0.07654714,1.4224327,0.093570486
1.759625,-1.66077,0.45688233,-1.1108845,0.014214303,-1.9660084,-0.89043653,2.777306,-0.87268615,-1.3416147,-0.49362415,-0.74709713,0.36071786,0.39059842,-0.11862155,-0.9115307,0.087407835,0.692415,0.4130097
1.1690515,-0.67135847,0.19344316,0.04273456,-0.22465305,0.106391765,0.29609478,0.31987792,-0.6677548,0.77785474,0.42728776,0.00017052247,0.20049231,0.6644099,-0.7283334,-0.5460177,-1.0073173,-0.82740927,0.80388814
1.0836076,-0.6836518,0.22160856,-0.18759586,0.094240285,0.10139801,0.07478808,0.2445526,-0.7481413,0.82351077,0.58532417,-0.0062152874,-0.0019694539,0.65214753,-0.7866638,-0.58381504,-1.2048186,-0.9441279,0.8597341
0.9199941,-0.88320357,0.22960293,0.1449943,-0.39946473,0.12730524,0.4233696,0.7462115,-0.6133395,0.8474736,0.5353834,-0.4739999,-0.12741014,1.0575652,-0.83571374,-0.6024629,-0.7924537,-1.1572901,0.91797704
1.177242,-0.7181535,0.21492678,-0.08062965,-0.11047416,0.021214832,0.0155156115,0.29348758,-0.7944059,0.8931606,0.28473562,0.078448564,0.05226091,0.72400457,-0.7686041,-0.5726469,-0.93910706,-0.782628,0.7405931
0.4955784,-1.1132079,0.64589727,0.67688686,-0.7762696,-0.5708703,0.61736697,0.35348693,-1.562135,1.1365037,-0.22346547,-1.1580818,-0.061057415,0.34385782,-0.6541842,0.1604944,-1.5222971,-0.6197233,1.256607
0.5984928,-0.44924212,0.31598338,0.63086927,-0.69645196,0.47198856,0.019542394,0.20934607,0.33135062,-0.06869361,0.48753744,-0.6819953,-0.564531,-0.014751399,-0.22854054,-0.6472065,-0.42847577,-0.036404714,0.08929818
0.65137357,-0.69218755,1.5172149,0.307318,0.39835703,0.24246976,-0.4068931,0.29537755,-0.27409202,0.21502085,1.1438212,-1.207866,-0.026559543,0.24197525,-0.66938853,-1.1926134,0.6545007,0.13935983,1.5394043
0.44046202,-0.48128936,0.16475117,1.186742,-0.45029515,-0.20185505,-1.0556126,1.4131801,-1.0747769,0.19918132,0.4404711,-0.82047313,-0.52181095,-0.58035904,-1.3538725,-0.5979057,-0.006197457,0.16925524,0.80527973
0.74023795,-0.8493846,0.7229937,0.82561725,-0.36968952,-0.6218448,-0.886459,1.7292286,-0.71439534,-0.35105392,0.29616204,-0.33495587,-0.2947487,-0.6903827,-0.3627315,-1.0079795,-0.25122136,0.6540992,1.3637754
-0.035756525,0.122235216,-0.92498064,1.3713268,-0.07162749,0.897396,-0.04769492,1.4663665,0.23234293,-0.75829506,-0.09698199,-0.90510654,0.3694176,1.4518938,-0.41259095,-0.13155554,-0.43306863,0.08298308,-0.04258383
0.43523687,-1.3496552,0.6898445,1.9414517,1.2212858,-0.56134856,-0.88509333,-0.32358474,0.28459886,-0.18365535,-0.73757845,-0.13188672,-0.8285916,1.3058332,-0.5985676,-0.68966526,-0.3329708,0.044613063,0.33030093
0.041558526,-0.74751943,-0.030381082,0.788484,-0.817542,0.62385607,0.05580152,0.3441563,-1.112004,0.60467684,1.0806777,-0.18295503,-1.3659767,1.4213531,-1.055322,0.46171266,-0.61928064,0.29402912,-0.19500244
-0.8168108,-0.9996515,-0.39132974,1.8620739,-0.23121135,0.35327622,0.81385386,0.7187038,-0.2135486,-0.080850944,0.8203042,0.86677295,-0.21589221,2.775263,-0.4664695,-1.0242,-0.2280756,-1.0650085,0.72064775
-1.2416606,-1.3996769,0.52195454,1.948823,-0.02436044,-0.5643552,0.90517765,-0.05738179,-1.6597183,-0.2937388,-0.2919811,-0.15682779,-0.12564483,2.1669416,-0.22043629,0.25979757,-0.598412,-0.34795338,0.78887326
1.7682678,-0.81158566,0.51411486,-0.123978764,-0.60935384,-1.2733334,0.59893894,0.3292368,-0.84986836,0.2579332,1.4159513,-0.9138016,-0.23885351,-0.023735527,-1.0917883,-0.9148927,-1.9307753,-0.6343474,1.3330508
1.6543981,-0.22600903,1.6774732,0.8372315,-0.2888024,1.8283215,-0.33201048,-0.8711993,-0.32062835,0.4434531,0.42298523,-0.47186816,-0.08695891,1.3333516,0.3461893,-1.1001662,-0.37235287,-1.3363434,1.006499
1.0760832,-0.31257847,0.21075329,0.44197994,0.50607234,0.29832795,-0.7031031,0.58568704,0.2624394,-1.0352131,0.63028884,-1.2682592,0.09295714,0.6525721,0.56514037,0.08299004,0.683991,-0.31902826,0.30804706
0.96030587,0.062247403,0.17758353,0.8394581,0.63490915,0.41635555,-1.2526696,0.7182476,-0.15739901,-0.98829746,0.65605134,-1.1856173,0.6792579,0.2270455,0.11429304,0.056708742,0.8315796,-0.27829143,0.5782977
1.4590545,-0.9871024,0.59669006,1.1169977,0.37946534,-1.4573873,-0.41006947,-0.58125424,0.75513977,-0.19666806,1.3504235,-2.2040963,0.22031416,1.6142124,0.82430106,1.0094173,-0.26707882,0.13397487,-0.6023638
0.86349475,-0.17323965,0.21088754,1.1736574,0.8990661,0.24117328,0.017197723,-0.28752133,-0.10685145,-1.1313559,1.3264661,-0.27113923,-0.51836735,1.354063,0.15626542,1.3127941,-0.1980075,0.2796197,1.8157134
1.3882711,0.8763245,0.23092057,1.558165,1.5467776,-0.7567784,-0.46497825,0.3790925,0.3609129,0.49877903,1.4627205,-1.4860255,-0.090448126,2.1470623,0.40340483,-0.36549425,-0.613523,0.12710805,0.7438737
1.2300451,-0.34691858,0.8852436,0.7732993,0.5899669,-0.19677256,0.7653201,-0.32398155,-0.562551,-0.8747037,0.37050283,-1.2997417,-0.9728358,0.53962153,-0.099966876,-0.74549216,-0.6376957,-0.07954472,-0.03316139
1.5637208,-0.49661613,0.28993976,-0.099833064,0.50962055,-0.27663115,0.55310756,0.26039478,-0.027921231,-0.8292648,0.37000188,-1.2348326,-0.7552526,1.162204,0.3394901,0.61261785,-0.59753156,-0.5967763,-0.37750852
1.7666956,-1.0761468,-0.5029586,0.9585219,0.61590177,0.61167276,-0.4437568,-0.14595303,0.36079776,-0.7480875,0.8408866,-1.3846904,0.10766414,0.63028836,0.5489845,-0.29463616,1.287713,-0.33750114,0.049753364
0.66263413,0.69759804,0.45470157,1.1798922,-1.6472869,0.22533315,0.3947369,0.7867813,0.96974206,-0.059707616,-0.10294816,-1.9192454,-1.2032188,1.0112017,-1.5570607,1.1774199,-0.8473833,0.23507588,-0.07891724
0.8080681,-1.4054537,-0.4211151,1.4768174,0.7050286,-0.22819924,-0.11035515,-1.1847931,-0.011575,-0.12794195,0.51161444,-2.1777868,0.04457071,1.1169832,-0.20454063,0.63595617,0.21679544,-1.0563097,-0.28378376
0.6604524,-0.23499234,0.47019395,-0.03433904,-0.07069736,-0.08493845,-0.17022413,1.0708483,-0.85107195,-0.52710575,-0.16989331,-1.0540341,-0.51581514,-0.80126,-0.074805245,-1.2963374,-0.9885445,-0.009154737,0.64687747
0.9145882,-1.4197098,0.84737855,1.0342313,0.15578365,0.024199072,-0.18241143,-0.37876987,1.044267,-0.98980856,-0.2923302,-0.4684162,2.4469318,0.8128936,-0.4288923,0.3545012,-0.14963652,-0.2884475,0.55295306
0.55738884,-0.7338619,1.6445974,0.49298027,0.2143105,0.2148061,-0.2921673,-0.16023304,0.34037155,-1.4008064,0.14756978,-1.018413,1.900861,1.2234541,-0.12049707,0.07534089,0.2797845,-0.43104213,1.0261531
0.48210394,-0.9671794,1.4899888,0.65554863,0.09566043,0.32935834,-0.2069248,-0.33511844,0.39717242,-1.52363,0.022987442,-0.9290523,1.9060198,1.1705419,-0.115852855,0.082998455,0.4596592,-0.33577985,1.0948721
0.7439328,-0.5361284,0.5430382,1.65111,1.2467352,-0.36524284,-1.6302546,0.047533628,-0.47422734,0.1381437,0.64901924,-0.56347907,-0.6693948,0.9022072,-0.6988907,0.41759902,0.9120647,1.1609799,-0.046289835
-0.33366916,0.22193466,0.775627,2.4297724,1.2561044,-0.27586895,0.0574568,-0.37372652,0.41800293,-0.74622446,1.6186504,-0.8038424,-0.22951913,1.8677049,-0.4903855,-0.11936798,-1.0063004,-1.272587,1.0577115
0.4336749,-0.9206168,-1.4112082,2.1847582,-0.5021827,0.9470237,-1.6433337,0.6785145,0.4409032,-1.1296633,-0.8117829,-1.6371663,-0.027636902,0.66439134,-0.92769986,-0.69563216,-0.64250875,0.68972534,0.7840882
0.7964497,-1.0957263,-1.2458152,1.611234,-0.47392032,1.2569613,-1.5803776,0.1716951,-0.31774628,-1.8986635,-0.30583978,-1.8637861,-0.031665977,0.4561185,-0.8857503,-0.57450134,-0.49359632,0.53111607,0.831155
1.5149516,-0.96891946,-0.35307607,0.61865705,0.41234475,0.601985,-0.5654075,-0.63236153,-0.4862043,-0.2044178,0.45135304,-0.39422068,-0.28872892,1.1039361,-0.033021666,0.9502993,-0.46202332,0.26479495,0.4662053
1.4815809,-0.96644723,-0.18783796,0.67055184,0.5300381,0.6607002,-0.5518502,-0.6309641,-0.38448068,-0.17073126,0.41950867,-0.5221852,-0.35450953,1.0398219,0.043642044,1.02357,-0.52934605,0.24526002,0.5156763
0.8166107,0.19257042,-0.4380988,1.6110256,0.2419168,0.8858472,1.4975796,1.9105122,-0.12485876,-0.11737706,0.666082,-1.1581917,-0.13730478,1.366814,0.49154487,-0.6213239,-1.3832134,0.50059646,0.6277261
0.21214187,-0.11588639,-0.09128537,0.35974106,0.23822834,0.3525175,0.0020353363,0.4446684,-0.07954947,-0.44490662,0.18870312,-0.15028192,-0.41074854,0.27865642,-0.355392,0.055438682,-0.076338224,-0.3647091,0.12264928
