p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21
0.10424887,-0.12705143,-0.8528472,0.8675985,0.21815346,0.09438803,0.4881199,1.255359,-1.2589622,0.41663027,0.9593652,0.2722124,0.7396303,-0.98640454,0.54921097,0.8599754,-1.4815423,1.3115234,0.5281137,-0.49713466,-1.7977422,-0.35145023
0.3592789,-0.10324943,-0.49397767,0.065376006,1.4186342,-0.9832447,-0.27043304,-0.11985526,-1.8717198,-0.68695897,0.74742967,0.94373316,1.1666157,-0.739254,1.40867,0.7683007,0.61420524,-0.20899884,0.017583393,-0.15764523,1.6398718,-0.7384103
0.5715828,-1.1438707,1.3972633,0.3512682,0.91333187,0.03218875,0.81657964,0.6877612,-1.1916841,-0.8304169,0.053976793,-0.08985771,0.76947016,1.5533096,-1.2954218,0.98848486,-0.42544731,0.17947075,-1.1576585,-0.95000005,-0.14131348,-0.47800663
0.14368239,0.3849624,0.8884608,0.59125185,-0.22579172,0.38407123,0.124786936,-0.10057794,-0.24729343,-0.2029224,0.20094775,0.4135535,1.0663385,-0.61647,-0.090483226,1.1592755,-0.8174738,-0.114438675,0.7086044,-0.36466584,0.4367664,-0.4404218
0.12546,0.7891922,1.3159627,0.76476717,-0.30220002,0.5106398,0.36758545,0.18154238,-0.2717302,0.28057903,0.31537655,0.15605213,1.0371329,-0.46210188,-0.28720266,1.0552322,-0.89001334,-0.45942166,0.9110796,0.008981159,0.57254785,-0.02601373
0.020488335,0.27506685,-0.44821516,1.5056801,0.9455203,-0.009492791,0.15624486,-0.737319,-1.5771391,-0.07759592,0.7716608,1.0576965,1.1637063,-1.057041,0.46414906,1.2325523,-1.3149655,-0.6989978,-0.5547678,1.0906245,-0.90727216,-1.2872196
0.18713273,-0.5987301,0.15382072,1.0104922,0.7159812,-0.012882438,-0.4662634,0.38249177,-0.85274553,-0.4465973,-0.25811288,0.46243876,0.870414,-1.1438551,-0.13393793,2.2314959,0.03360359,-0.6764735,-0.48197222,0.354492,-0.450987,-1.2226359
1.1408147,0.89029425,0.08719196,1.6044527,-0.5239451,-1.4424044,0.67760336,0.026151763,-1.0720835,0.0700405,0.40262708,0.27913272,1.450296,-1.384522,-1.002779,1.7258726,0.23781435,0.06676082,-0.7620456,-0.29651794,0.47968078,-0.7770918
0.011729478,-0.066273965,1.2229159,1.265546,-0.09298439,-0.10469162,0.3931738,0.092828035,-0.7091429,0.15177809,-0.15097448,0.8094061,0.99853486,-0.78115463,-0.74586487,0.4156803,-0.24074456,0.17463812,0.050154075,-0.00081593194,0.25652692,-1.4204358
-0.42008287,-0.40703264,0.29885063,1.6709825,0.51217705,0.010189725,0.07908292,-0.4479732,-0.48147526,-1.1054938,0.6556472,0.4233579,0.98511565,-0.14957157,0.8593097,0.60296226,0.18818381,0.75051504,-0.28828648,-0.20729056,-0.37206343,-0.5978516
-0.22711353,0.5891804,0.91885877,1.1866026,-0.29567716,0.5517328,0.54180837,-0.26010534,0.16747826,-1.0096582,-0.27505618,-0.012160148,1.2997835,-0.52557856,0.20458987,1.3575047,-0.9928509,-0.60770607,0.49579972,-0.7715197,-0.08939262,-0.47462088
0.950811,0.31140393,-0.984933,1.5490807,-0.25304246,-0.21491443,-0.17355248,-0.5061999,-1.2032037,-1.1654447,0.1680958,-0.60575116,0.22467297,-0.6406688,0.56920403,1.0874604,-1.1318984,-0.2603686,-0.07172849,0.9708381,1.6149477,-0.74440444
-0.7184266,-0.3166897,-0.057966124,0.902378,-0.7476536,0.14043415,1.3106359,-0.6506634,-0.6661623,-0.50782907,-0.23490323,-1.1056052,1.0801674,-0.43970716,0.30484554,1.8522165,0.28097787,0.23654056,-0.29469955,-1.3839048,-0.48901284,-1.0988494
0.09679269,-0.40454033,-1.0179662,-0.20034811,-0.38828635,-1.0654079,-0.11567272,1.4898674,-0.71144843,0.102329604,-0.5591275,0.08137782,0.51601714,-0.80645066,0.5540481,1.0844405,1.0510334,0.49950996,-0.54259974,0.1248645,0.7457893,-0.2892731
0.6482076,-0.06993727,1.0382035,0.44483566,-1.039679,-0.30224654,-0.13142137,0.8919349,-0.2533915,-1.25457,1.682153,-0.8403778,0.84850335,0.8378852,1.1320914,1.0365264,0.2804856,-0.4686718,0.69140744,0.24206299,0.49594945,0.6515326
0.23056984,0.0144899255,0.59322244,0.6955096,-0.48808908,-1.1815308,0.03566817,0.8097038,-0.64283156,-1.2756633,0.77241737,-0.9787357,1.2925446,0.46667016,1.2700056,0.93491244,-0.019794187,-0.4275649,0.40223867,0.09433693,-0.15756446,0.64221716
0.3133349,-0.092930414,0.5435564,0.76217633,-0.5617986,-1.0837933,0.05591911,0.7446116,-0.58520204,-1.2208079,0.91883713,-1.0127593,1.1885304,0.43094024,1.2736602,0.9289897,-0.081771195,-0.33476046,0.555656,0.04005721,-0.54325145,0.73222816
-0.11899001,-0.395942,0.23596469,1.462565,-0.657931,-0.3183776,1.0383633,0.6855762,-1.6497041,1.0629033,0.38171643,0.6624293,0.9324505,0.15328312,-0.44993633,-0.38180178,0.027214607,0.22819938,0.68740183,0.34080255,-0.2709176,-1.2260975
0.8517068,0.039625283,-0.10591043,1.1684724,0.15381467,-1.1291502,0.16233172,-0.29703248,-1.739115,0.21780269,-0.14300661,1.2234538,2.0171928,-1.0987893,-1.1319913,1.9611086,-0.049747612,-0.253918,-0.058024146,-0.17501087,0.09749871,0.28024536
0.48517933,-0.6852614,0.82592255,2.0359676,-1.9222535,-0.102464065,1.2151805,0.25894836,-1.2628628,0.5023089,0.7352563,-0.63505495,-0.17580849,0.048592135,-0.9608831,1.5212826,-0.77573353,0.45361364,-0.76818866,0.92199945,0.61899567,-1.0920776
-0.3332027,-0.4111421,1.3149192,1.7434891,-1.7240484,0.56782377,0.909253,0.42826596,-1.1282418,0.089879595,0.6725464,-0.055452093,-0.6691839,-0.347144,0.18377084,1.6806248,-0.83794457,0.5908931,-0.9786686,1.1987747,0.70054823,-1.2090755
0.045763604,0.2824298,1.1347094,0.9981245,0.028676737,-0.04295247,0.7372763,-0.24824595,-0.20664133,-0.62818587,-0.15759756,-0.21920347,1.1985214,-0.07900009,-0.22988236,1.3378706,0.42699838,0.3373628,-0.7870661,0.16786486,0.48423722,-0.7306749
0.026703324,0.2938817,1.0920223,1.0188794,0.07657316,0.012057354,0.62841,-0.24247226,-0.22192748,-0.63665545,-0.1757102,-0.16971688,1.2173597,-0.06682382,-0.22793674,1.2759006,0.3318931,0.37060025,-0.8206357,-0.014606126,0.56116325,-0.7303157
0.813217,-0.013056293,0.9654751,0.5558247,-0.7593219,0.0050358605,-0.41453573,0.18061113,-1.0201075,-0.8431404,-0.7260746,0.8291024,1.8611333,-1.8238004,0.40432534,0.71637183,-1.6137916,-0.48244947,-1.116469,0.30991805,-0.36879942,-0.61066526
0.13609327,-0.0040199943,0.034561157,0.5388318,-0.16853637,-0.16691463,0.116372176,0.17451781,-0.1198924,-0.12749627,0.40291187,0.3915094,0.2600224,-0.20489939,0.21998468,0.09370799,-0.05337564,0.19254857,-0.33611748,-0.40027416,0.27554044,-0.38205665
-0.68590754,0.16507684,0.88947064,-0.4555519,-0.24147198,1.6514286,0.54815066,-0.30550238,-0.3755487,-0.08849426,0.47829896,0.23068753,1.4292169,-0.6270237,1.0159605,0.70512015,-1.5180876,-0.5863069,-0.5374951,-0.9824795,-0.055526216,-0.17948037
-0.69533116,0.094512045,0.34301358,0.1470953,0.104117095,1.2104194,1.1910453,-0.2737295,-0.8014652,0.13875288,-0.0011551854,-1.2048397,2.1211839,0.073007435,0.97613895,0.19950749,-1.9622794,-1.1157441,-1.98294,-0.7041883,0.0031939866,-0.8535538
-0.560238,0.009911575,0.4425415,1.3962247,0.3532606,0.39419112,1.4315398,-0.078402705,-0.11858899,0.12487542,0.29271427,0.038871296,1.7863877,0.9518837,1.5860153,0.8043455,-1.5160865,-0.65392846,-1.6685957,-0.5125037,0.004444728,-0.38066995
-0.32287875,0.10147776,0.7526498,0.53027827,-0.08092472,0.825786,0.84154195,0.05137637,-0.36924043,0.29250383,0.60842955,0.47307965,1.7176752,0.36806262,0.70955306,0.8096685,-1.0964794,-0.47925478,-0.8657427,-0.5687516,0.12786597,-0.35281113
0.5342261,0.2031607,-0.70697385,-0.016341263,0.55336934,0.80955637,0.21588297,0.6179937,-0.8460849,-0.37981015,1.0477993,0.690817,0.9134403,0.7340723,0.9347498,1.0337818,0.43796602,-0.8418494,-0.52576643,-0.0061769974,-0.7208255,-0.13312493
