p_0,p_1,p_2,p_3
1.744234,0.5510271,1.8699054,1.7496761
1.4478527,1.3216265,2.6232684,2.0884109
1.8319372,0.713014,2.0929692,1.7304664
1.707515,0.57749146,1.9505293,1.7061441
1.9033523,0.7017012,2.0797393,1.5947567
1.4089103,1.1582334,2.3453012,2.019386
0.8564273,1.5463623,2.27671,1.2471151
1.124067,1.4577498,2.393919,1.1652876
1.0421278,0.8867723,1.8897182,1.3598642
1.6150342,1.3071672,2.5655248,2.4940567
-2.749427,-0.8167973,2.6499133,-0.95843637
-0.3233549,0.8278556,2.836866,-0.20226654
-1.294387,2.339053,2.9504013,-0.2981023
-2.432092,3.9709246,3.8468964,0.6825767
-2.0883148,3.8656483,3.8256323,0.68409944
-2.3941371,3.7806916,3.8463032,0.38558173
0.04278236,0.5327992,3.116269,-1.2389419
1.3158065,0.6808257,2.6048365,-0.4045407
-0.283614,1.1776842,3.6026504,-1.5870409
0.82990915,1.2252821,3.0470202,-0.96607155
0.77457964,1.1815149,2.8402355,-0.9131444
0.39197588,-0.7454548,5.684134,-3.0761075
0.3385258,1.9500746,3.1949997,0.39515856
-0.8303256,1.6675643,1.1185664,0.6131134
2.066583,3.2920482,3.8945184,0.15614669
-1.2096567,-3.5770545,1.4456239,1.5193383
-1.3797148,-3.6722097,1.5042455,1.8035369
-1.0926741,-2.289066,0.89386594,3.3449652
-1.2034124,-2.1714664,0.8340722,3.414042
-1.2119603,-2.0506546,0.8850135,3.103744
-1.3725756,-2.0783162,0.8198402,3.0004277
0.08070651,-1.9499805,4.47571,-2.0951552
0.97237134,-0.8721731,1.5214258,1.6520551
-1.5827957,-2.8829048,2.1382835,0.07032051
-1.8867193,-2.9189217,2.4641564,-0.15687232
-2.0148242,-2.812353,2.271189,0.07356765
-1.9329834,-3.468249,2.6536345,-0.21005777
-2.047349,-2.7945995,2.3400438,0.028668173
-1.9507424,-3.0902486,2.4324183,0.05468495
-1.9807899,-2.9056845,2.4231324,-0.12722464
-0.3997843,3.4423301,2.9982173,1.5743178
-1.6914873,2.4468968,1.898385,0.77731824
-1.5495343,2.175775,1.8474269,0.7233018
0.94024706,-1.3772206,1.073625,1.3932807
1.2492372,-1.7059327,1.3758491,1.5988646
1.8344449,-1.8119221,1.4699098,2.1034653
0.99560505,-1.2787585,0.93475944,1.0065393
0.9272149,-1.2305254,0.9687606,1.3447471
1.4632713,-1.6131852,1.5925531,1.0606006
1.7456445,-1.4004835,1.7680243,0.9167595
1.5910205,-1.388748,1.7601854,1.1797663
1.5777451,-1.637652,1.725452,1.2570192
1.205154,-1.6350726,1.5500753,0.995269
1.1900302,-1.6092612,1.6123302,0.7465222
1.3036686,-1.6021479,1.6227543,1.1586455
1.2314432,-1.6227759,1.496416,0.96817005
1.2985064,-2.0809364,1.7955714,1.3772746
1.1914997,-1.727446,1.690457,1.3151228
1.3698481,-2.1286101,1.907336,1.3678672
1.0474081,-2.7771409,2.000995,1.4950796
