p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15
-0.089984596,1.5891159,1.5113629,0.34452942,1.3775204,-0.6328444,2.1865435,0.45960838,-0.56016374,-0.278634,0.1591193,0.113472305,0.051733498,-1.080346,-0.3585864,-0.47135815
-0.68424904,0.3936831,0.56488717,2.3477807,0.6413988,-0.32535198,1.5935661,-0.5782117,0.57961136,-0.65681434,-0.21724932,0.34918565,-0.6423376,-1.559035,0.25207397,-1.606755
0.9982923,1.3746614,-0.1661703,0.68384796,1.0221972,0.40975955,1.1879755,-0.39797485,0.13568775,-0.8223368,-0.44117633,-0.8992911,-0.3603482,-0.5065905,-0.9955008,0.46223858
-0.6266975,-0.7435722,0.81670344,-0.4263817,-0.44412863,0.10154717,2.0821848,1.0464787,0.48412916,-0.7486553,-0.7697748,-1.0496323,-0.40351847,0.16783024,-0.6226359,-0.6447386
-0.83059263,-0.66135633,1.3099421,-0.74448335,-0.045589074,-0.3713614,2.1355054,1.3471856,0.87054026,-0.7033235,-0.38369888,-1.1446487,-1.1351165,-0.08360329,-0.36326995,-0.38900605
0.11239378,0.13962315,1.0102081,-0.30520865,-1.3802586,0.8370222,3.1892252,1.6944866,-0.1593686,-0.1634861,-0.2992488,-1.992387,0.7931138,0.6441646,1.5764416,-0.009276675
0.5113776,-0.6682774,0.74283797,-0.437283,1.0895135,-0.6856259,1.486311,0.08940177,-0.35517654,-0.8669998,0.4172779,0.13615231,0.09335506,-0.6876882,-0.44633213,1.0016775
0.54595804,0.48663718,-0.40862566,0.00646816,0.3576862,-0.56455266,1.0208495,0.4490856,-0.80452234,0.45845097,-0.12603995,-0.8165834,0.15498483,-0.7617229,-0.78529423,-0.057614647
0.41187078,0.9502373,1.9646431,1.8244363,0.9757993,0.20659655,1.124501,0.21966097,-1.1517729,-0.9012594,-1.0437584,-0.6507258,0.66746235,-0.5649,0.100923866,1.6841602
0.33941948,0.88766295,1.4254031,0.47337034,0.2153593,-0.8032008,1.7509588,0.9168937,0.15568395,-0.3763693,-1.097529,0.34401637,-0.74386716,-1.5343922,0.4099923,-0.8216913
