p_0,p_1,p_2,p_3,p_4,p_5,p_6
0.69075394,0.23407431,-2.2667522,1.2002974,-1.4007764,-1.3758179,-1.0429239
-0.41557503,0.56914115,-2.5275204,1.2078264,-0.61850816,-1.9660474,-1.142057
0.71336114,0.17861491,-2.1443834,1.1090369,-1.4508684,-1.474948,-0.90311915
0.5368242,0.18302818,-2.2719386,1.1067657,-1.0737617,-1.4420652,-0.995898
-0.15952133,0.03752159,-1.8348395,2.0427759,-1.3402609,-1.5421141,-1.4356765
0.70165795,0.018443298,-2.551524,0.8711837,-1.1017326,-1.1874461,-0.7494449
0.22029512,-1.1342593,-2.5077558,1.0742604,0.22245033,-1.7348735,-0.69652396
0.19657955,-1.1434684,-2.3117824,1.3495084,-0.026975213,-1.618766,-0.95870423
0.28995335,-1.097829,-2.3277829,1.3176652,0.20976186,-1.6614355,-0.8575882
0.16039822,-1.1173084,-2.1792345,1.2612189,-0.08292709,-1.5590616,-0.9187367
-0.018465132,-1.0713701,-2.1865838,1.2769873,0.074201815,-1.7566568,-0.7438968
0.4204764,-0.96101904,-2.236865,1.1622223,-0.09442937,-1.6015998,-0.8758523
0.29172146,-0.61980546,-1.3898482,1.6525687,-1.3758717,-2.3346038,-1.4258074
0.28354675,-0.7459502,-2.186196,1.3273414,-0.12799625,-1.5825078,-1.076077
-0.320012,-0.6983477,-2.466463,1.2234782,0.7517935,-2.5202239,-1.041219
0.30176365,-1.004397,-2.2146368,1.127697,-0.29953146,-1.5493846,-0.66239196
0.2894375,-0.8955155,-2.1239438,1.1963323,-0.073973365,-1.7151134,-1.0045937
-0.3750382,-0.898912,-1.7683102,2.1961412,-0.23360392,-1.9312172,-1.4381462
0.16000612,-1.0524251,-2.4801424,1.0961953,0.19666238,-1.7015499,-0.72193027
0.5683957,-0.7148656,-1.532404,0.68385315,-0.5739824,-2.43901,-0.34726
0.8279702,-0.7227009,-1.3787435,0.7940998,-0.63975185,-2.3692915,-0.5974602
0.3972379,-0.8113075,-1.4756663,0.8848762,-0.46542466,-2.029571,-0.47605765
0.53262204,-0.86968625,-1.3866299,0.8885687,-0.64790636,-2.1938763,-0.60461205
0.45786217,-0.76739746,-1.1319424,0.9168203,-0.7409798,-2.3833547,-0.5361845
0.69267875,-0.6178905,-1.2488724,0.9885369,-0.61530423,-2.2060525,-0.8883079
0.9490917,-0.38329193,-0.8613197,1.2173119,-1.8403511,-2.9242837,-1.0930606
0.6913957,-0.6674054,-1.231871,0.87342453,-0.67302597,-2.4370582,-0.71114355
-0.58730656,-0.40150726,-1.5657482,0.86552274,0.3023996,-2.899962,-0.6494537
0.6418805,-0.7420485,-1.378711,0.94231707,-0.8421759,-2.3131514,-0.60668314
0.5745038,-0.57968336,-1.2449946,0.87107605,-0.64993083,-2.345992,-0.73299897
-0.19151554,-0.5547613,-0.9065209,1.857846,-0.70923084,-2.3702505,-1.3901029
0.6978577,-0.73056144,-1.4392967,0.60593134,-0.785436,-2.4696395,-0.25738454
0.5721421,-0.05560882,-0.10821748,1.3149242,-1.2565078,-0.86490506,0.72514504
1.5258498,-0.08714189,-1.0329849,0.9533878,-1.3980165,-0.6830076,0.85895014
2.761906,-2.3833902,-2.3763983,1.0273448,-2.0181952,-0.56319135,1.927565
0.78419024,-1.2459285,0.0646172,1.7502877,0.27402472,-0.3551591,2.0400538
0.6179927,-1.475068,0.16810527,1.4903241,0.39519805,-0.3570936,2.0850375
0.43441272,-1.3377036,0.17341737,1.5174067,0.31375095,-0.12537722,2.1687455
0.7132813,-1.3351401,0.042138644,1.6694523,0.33025974,-0.17105576,2.107404
0.76350373,-1.4565727,0.1888178,1.6153184,0.27669457,-0.0737426,2.0408857
0.46919134,-1.3413078,0.11589543,1.7311832,0.3122206,-0.1368163,2.3374565
0.9150332,-1.311847,-0.3203453,1.3665334,0.52382004,-0.28012156,2.1444771
0.52492833,-1.3665512,-0.43524003,1.2229888,0.6290129,-0.2853345,2.1271274
0.55117893,-1.2530532,-0.30700606,1.2632489,0.29745296,-0.14708583,2.18643
0.74127275,-1.2666101,-0.34517482,1.2732403,0.52178407,-0.35568374,2.0522137
0.7095276,-1.4028226,-0.3901508,1.4123427,0.34336814,-0.03799134,2.091944
