p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
-0.085949846,-0.01585935,2.4671676,1.2337868,1.0824349,-0.0039659804,0.5509035,2.7078779,-2.3754094
-0.48790005,0.165434,2.0723796,1.759419,0.88563603,0.76967555,-0.093540184,2.8907187,-2.3274763
-1.0662072,0.25151774,1.4920164,-0.026320217,0.09741859,1.3457178,-0.13620947,1.9896233,-0.35168996
-1.1308346,0.25564283,1.4218485,-0.18369286,0.11610007,1.1859319,-0.07535517,2.0636861,-0.39675614
-0.8306201,1.2660961,1.9498757,1.0631149,3.1245046,-0.7066881,0.34862572,-0.33626387,1.4908974
0.1850448,-0.2783322,0.5185778,-0.34187397,1.0783548,0.43056032,-0.6123216,0.5687428,0.39799273
-2.041111,-1.8291193,0.9075342,-1.5518696,2.2503848,0.8081185,-2.4296877,0.635583,0.47052687
-1.727437,-3.1523569,1.229247,-2.8610935,2.818259,2.2552273,-1.7588302,1.0070624,0.5397412
-1.4343808,-1.7304839,1.7721637,-2.8574784,1.600357,2.0411518,-2.0197022,1.0820949,-0.6795211
-1.3135114,-0.85353255,1.6994458,-1.5490159,1.63264,0.65766555,-1.6905413,0.84285694,-0.19196825
-0.8451529,0.13255768,-0.029870464,-1.4153851,1.7787507,2.2091992,1.5473931,1.1187377,-1.1758168
0.49034625,-0.17077251,2.743486,-0.12010718,0.07969221,-0.8015334,-1.095221,1.1682643,-1.4193143
0.15490402,-0.09632785,2.0462735,-0.20984495,-0.02185989,-0.38259676,-0.9992316,1.2878972,-1.6696757
0.43952858,-0.21930194,2.3551812,-0.15525116,-0.0036421935,-0.34993595,-0.7045795,1.2576973,-1.4073654
0.26342505,-0.15972255,2.1557682,-0.043245,0.060574386,-0.40056524,-0.62223315,1.4116318,-1.349061
0.046526738,-0.10453006,2.0418017,-0.17439228,0.3709925,-0.41187108,-0.68930095,1.0887693,-0.5307768
-0.18155928,0.052014533,1.4098325,-0.36825037,0.44522905,-0.38707533,-0.8059431,1.3659885,-0.30157158
-0.23323663,0.009598497,1.5000072,-0.33792302,0.37391695,-0.3996575,-0.9111389,1.4250534,-0.28854933
-0.33572572,-0.04759377,1.1954006,-0.30532247,0.22144467,-0.17394075,-0.5988953,0.8765285,-0.7664256
-0.81116784,0.2561414,1.0685755,-0.3840602,0.31506115,-0.029390337,-0.6583275,0.97723055,-0.94721293
-0.66124594,0.14804816,1.0954884,-0.44277856,0.36432666,-0.14041814,-0.5581465,0.945398,-0.6700402
-0.7749468,0.15446518,1.1310993,-0.4157716,0.37047237,-0.15787712,-0.477799,1.0887822,-0.67747635
-1.9438069,-0.18508333,1.4115078,-2.0273113,0.4539004,-0.1131449,-0.16503131,0.65628374,-1.3011793
-2.737261,1.5071346,1.0070003,0.035471328,0.43729877,1.6530237,0.3714396,-0.061527826,0.55307746
-0.37433586,0.19282974,1.6022158,1.4802324,0.16083907,0.37751737,-0.18390048,-0.30674684,-0.060164828
-1.4151499,1.9581417,0.48186874,0.7787084,1.3186822,0.8455261,0.26672494,0.6950299,-0.41315907
-2.2012355,1.0364817,0.5952301,0.3893404,0.7138933,1.4706753,0.16766438,-0.01965486,0.15288834
-1.1406804,-0.3614294,0.38272604,-1.5242177,1.6444652,1.4418333,1.5157285,1.9941841,0.33138728
