p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16
0.82128835,-0.70203066,0.38211414,0.8752771,0.84438884,0.62054014,-0.013337159,-0.727614,-0.88589925,0.6418317,-0.65724516,-0.07593082,-0.5613022,-0.38591462,0.35321566,-0.041211504,0.7747028
0.59331864,-0.899624,0.162183,0.66797566,0.6238891,0.6453314,-0.17647234,-0.8443785,-0.62111443,0.43544543,-0.72996503,0.2921181,-0.36187243,-0.15115003,-0.013541407,-0.068136185,0.6673046
0.6780001,-0.9014026,0.16260977,0.6879607,0.53848654,0.7461685,-0.2926597,-0.6993883,-0.7095152,0.35790738,-1.1094118,0.37539014,-0.3942155,-0.18116488,0.121922046,-0.20084201,0.7415018
0.37567127,-0.6767773,0.49578667,0.53034866,0.742921,0.26203778,0.33274683,-0.43210867,-0.64084595,0.65955836,-0.32904586,-0.09507103,-0.2654483,0.07033615,0.854658,-0.18432134,0.20042074
0.46852228,-0.712329,0.37025788,0.69370204,0.5702254,0.5636506,0.34564292,-0.36872628,-0.6914674,0.57643,-0.6109877,0.1682375,-0.28193587,0.30518153,0.65248984,-0.013531017,0.29627317
0.52261823,-0.80326986,0.33312607,0.5936479,0.5035759,0.6004992,0.2389277,-0.42466447,-0.53959775,0.45586297,-0.5267485,0.2790545,-0.15692562,0.2114124,0.54103386,-0.18481202,0.32639387
0.50289446,-0.8234272,0.33982202,0.6521859,0.6291627,0.5758954,0.2423438,-0.33004305,-0.4689462,0.4987931,-0.5685828,0.27673027,-0.15180574,0.22508037,0.5100129,-0.27272815,0.37222344
0.86678904,0.06940315,0.051885534,0.6076867,-0.021716507,0.9783389,0.27229056,-0.33645827,-0.46894568,-1.0016745,-0.7510448,0.76793844,-1.1225733,0.8195289,1.5678916,-0.017320223,1.5486481
0.5243957,-0.48911688,-0.007081092,0.7555429,0.535103,0.27603403,0.6868655,-0.45108253,0.7287565,0.5500502,-0.4373052,-0.44663373,-1.8765348,0.98878807,-0.3025107,-1.1378169,0.7558667
0.7583904,-0.6821516,0.31160733,0.64376134,-0.36703286,0.13430502,0.37470597,0.6546023,0.06358161,-0.77183306,0.26983213,-0.9731637,-0.216802,0.63693994,0.2637301,-0.8078865,0.24176644
1.3758227,-0.3544816,0.56588036,0.54339385,1.0807966,0.6934569,1.2722739,0.45750564,0.32817107,0.44138154,0.11732239,-0.29727933,-0.34634757,0.9966717,0.79703856,-0.12178724,0.526482
0.546963,-0.41546473,-0.33353272,0.7279398,0.45029145,0.2954036,0.46618238,0.11677136,0.7002817,0.30636263,-0.027663166,-0.084700644,-1.5970138,0.7366782,-0.08569254,-1.3364158,0.9002142
0.58509606,-0.85547364,0.9300342,1.6107668,0.31205982,0.2542694,0.22812027,-1.0674454,1.1935434,-0.37527958,0.40380636,0.1956896,0.67249674,0.500715,0.41223544,-0.019937925,0.8695695
0.23327172,-2.1394284,-0.513189,0.43654364,0.92555386,0.46084303,0.025699867,0.027270446,-1.4033984,-0.2689007,0.8566614,0.5771775,-0.14124373,0.93335897,0.45404652,-0.7676447,1.9183939
-0.63691,-0.16411147,-0.19643378,0.7951623,-0.14423646,1.1152036,1.2972625,-0.70822954,0.21685863,0.9685199,-0.3489572,0.5253209,-0.49125305,1.1827576,1.6482737,0.04522841,1.1263853
1.3615938,-0.28044724,0.61645,1.0613935,0.41397956,0.8206549,2.7001998,-0.06418603,1.3163058,0.50152004,0.19099976,-0.6600639,0.19800313,0.47377738,1.4088398,-1.3243347,0.5775475
0.92163986,-0.3636497,-0.41823936,0.4445062,0.99156153,1.3069826,0.36027193,0.7594987,-0.40943784,1.2686303,-0.5857206,-0.6164716,-0.39870813,1.814272,0.23138091,-0.85737413,2.0794609
1.2152718,-0.5723655,0.25163475,0.15708052,0.31554377,1.446678,-0.6048254,0.8676895,0.12541632,0.23661299,-0.051020116,-1.1873468,-0.7544435,0.73379534,-0.3152814,-1.1732035,0.9290524
-0.22439145,0.066263445,1.0750074,0.695048,-1.0520469,-0.5794287,0.9480812,-0.7154127,-1.0267967,-0.42499286,1.0200412,-2.0325537,-1.4591784,-0.2731474,1.2360877,0.5413689,1.0437673
-0.32666093,-0.7679753,0.2871517,0.25555658,-0.19019857,-0.41526428,1.0762606,-0.6602246,0.29314154,-0.23934984,0.49629182,-1.6931688,-0.55505806,1.1313417,1.0253427,0.0494958,1.4692736
