p_0,p_1,p_2
-2.4529378,-1.0081257,1.716415
-2.7286599,-1.2033885,1.8066728
-2.231336,-1.061199,1.3088938
-2.222747,0.19966204,0.9107863
-2.09946,-0.8967626,1.3552691
-2.3536832,-0.19369829,0.91266143
-1.8661047,-1.5328866,1.305684
-2.2455142,-1.0650582,1.6145887
-1.5668023,2.3874526,1.177587
-1.1410148,3.8366632,0.7474129
0.11196944,2.7376986,1.8503326
0.9110531,0.15502672,2.1937256
0.77701765,0.17646597,2.092453
1.1704588,0.3638387,2.1731107
-1.2709979,2.1061666,0.90569514
-0.17158204,1.8220217,0.5474271
-1.6041316,1.2949966,0.8957573
-1.476977,1.468263,0.9662725
-1.6185868,1.3511091,0.8614377
-2.6454418,-0.83498126,2.3848093
-1.2749627,0.7493459,0.9258561
0.04044014,0.45103857,1.4144529
-1.8954889,-0.32512778,0.8519511
-2.8214788,0.9694485,1.2420126
-1.8443364,1.6061635,0.73245776
-2.5879884,1.6799283,0.9104151
-2.4204214,0.8890918,1.1267831
-1.784821,-0.006599446,1.1501484
-2.7504892,1.0809851,1.1005058
-2.3626482,1.6249511,1.0008634
-1.8679118,-0.8437771,0.8180306
-1.9507332,0.80390996,0.91655713
-2.049048,-0.8180821,1.6613505
-1.9804691,-1.1574104,1.490592
-2.2941458,-1.2734318,1.5927376
0.915384,-1.1480535,2.3152323
-0.57503587,-0.27601403,1.0016629
-1.8797251,3.4077392,1.4067787
-0.3696443,1.9947963,0.70549655
-1.741459,2.416859,1.2889364
-0.35630372,1.4397807,1.163124
-1.1913751,4.21466,1.936869
-1.3298597,5.0336294,2.578092
-1.4709249,4.6163697,2.2437449
0.052940477,0.39543003,1.4318584
0.005525615,-0.31844407,2.8155756
-2.1325364,2.0675914,0.755081
-2.1946018,1.9730666,0.85863054
-2.0691721,2.040434,0.865205
-1.6253766,3.0430431,1.3509619
-1.9261557,2.926725,1.2253097
-1.0483639,2.5160472,1.1368418
-1.195129,2.5751655,1.1775327
0.57610416,-1.6307812,2.7171721
-0.36074075,0.23589802,1.0528232
-0.5007386,0.5003873,0.8556315
0.18961002,0.5597835,1.256893
-0.70083505,0.89482754,1.0058947
-1.1295574,1.7901697,1.1164739
-2.672368,0.9417661,0.8532366
-2.3907034,0.89168656,0.9160599
-2.2985978,0.46846712,0.90455
-2.3795588,0.8818075,0.7779271
-2.9639657,0.6941698,1.1911933
-2.9190507,0.40586403,1.0732503
-2.9069643,0.5840663,0.996555
-2.6519504,0.22650051,0.9496028
-2.6202164,0.7025196,1.0161304
-2.930287,0.64449745,1.0173608
-2.765234,0.54501,1.0039096
-2.950908,0.54880774,1.2070774
-2.868239,0.71056914,0.96098197
-2.7951725,0.7406739,0.9826646
-2.708594,0.45918062,1.0186812
-3.2113774,0.5466832,1.3738834
-2.1871312,0.747683,0.8003723
-2.223208,0.3951909,0.8802017
-2.346675,0.71855354,0.89970577
-3.19627,0.86917746,1.1794838
0.34281024,-0.8775756,2.5160813
-1.0604103,-0.5266715,1.7795188
-1.3472642,-1.1232226,2.0120637
-2.1876323,-2.74862,3.0429215
-2.1502523,-2.7688692,2.9529862
-1.8409437,-2.785298,3.1403182
-2.1693687,2.6990302,1.447415
-1.8259495,1.7563598,0.67368245
-2.8036716,3.011924,1.3149431
-2.055591,2.5399172,0.64850897
-2.052331,2.2790377,0.60974896
-2.6388047,3.5303948,0.8059132
-1.8413523,0.3935275,1.0042317
-0.7356688,-1.1891047,1.6588588
-2.2377892,-0.34488413,1.5029551
2.341706,0.84431887,3.5287225
2.4271898,0.6173247,3.6694746
2.283427,1.4989944,3.605497
2.2293994,1.4211375,3.6322846
1.9912747,0.9529247,3.0625591
2.0389588,0.9256589,3.198006
0.035616286,0.98681986,1.5642734
0.86058164,0.65071934,2.0120442
2.228007,-0.14434485,4.100696
2.6463056,0.15161392,4.469926
2.5992653,0.09181866,4.404671
2.766229,0.10491729,4.973969
2.6436079,0.15121938,4.6397686
2.5948567,0.036934126,4.5458207
2.6311634,0.12656313,4.628334
-2.8209186,0.504939,1.5748188
-0.71410745,-2.6028256,2.4758828
-0.5780829,-2.9069607,2.9427366
0.84402585,1.1403811,1.3908495
0.99926734,1.691879,1.8104111
1.3734337,2.3110883,2.6790652
0.81697005,1.0493013,1.211982
0.7905869,1.1154355,1.3081923
0.5798503,2.219184,1.4028966
0.41226247,2.4323092,1.3147144
0.4362926,2.1901534,1.3613131
0.59115,1.936114,1.346461
1.2035167,1.1666346,2.0905817
1.0017549,1.2320633,1.9088197
1.0912262,1.1650604,1.9844145
1.0880487,1.0043368,1.8287361
1.3150655,1.3964125,2.3495495
1.2118934,1.2529107,2.2591655
1.3830845,1.534039,2.4522638
1.7423301,1.5149909,2.9722042
-1.790458,3.3266652,1.6291122
-1.8174685,3.3516514,1.675715
-0.42206487,1.6202837,0.827719
-0.14370641,3.3055105,1.8009245
-0.70822877,2.0619597,1.0238595
0.5254602,0.82350326,0.12261528
-0.4176208,2.1252785,1.3203374
-0.19616961,2.5871713,1.5894737
1.3708663,1.46835,0.77454203
-1.5914577,-1.7404155,2.7360654
0.019906778,-1.3073379,1.9412793
-0.09675063,-2.4080608,2.8752563
-0.057500694,-2.9019222,3.5667944
1.7735486,-0.50813127,2.561877
-1.7450173,-0.67012095,1.3534007
-0.15250611,3.953959,2.49822
-0.08614161,4.2881894,2.859637
-0.6936228,3.4246488,1.8642983
-0.17898558,4.076616,2.452848
0.43920535,-1.0232515,2.190426
-1.1964911,-1.0913906,1.881255
0.5022261,-1.4683044,2.2862146
0.17380796,-1.5871866,2.3191457
1.6669644,-2.1656752,4.6622834
1.1003109,-4.450391,6.50684
0.18871202,-2.1946979,2.7799222
0.4933339,-2.4928997,3.2628944
0.34311667,-2.6031356,3.2979438
0.73455006,-2.346233,4.428078
-0.2571618,-3.0430162,3.2207153
-0.1687642,-2.9566572,3.2760627
-0.102346234,-2.9783218,3.2819073
0.88032925,-2.595908,4.215009
0.5578192,-2.3101912,3.6049306
0.89531344,-2.318474,4.2210064
-0.24022503,-3.34304,3.633706
0.11064069,-3.6348422,4.117678
0.32836688,-2.4487984,3.3965497
0.233044,-2.249241,3.0173252
-0.9779458,1.2544523,0.849788
0.12138732,-1.8454838,2.1418388
0.9939869,0.56432354,3.0517404
0.6300181,-0.39620733,2.2708862
-0.27804536,0.84433997,0.92980653
0.006749235,-0.45782328,1.4359254
0.19459532,1.0046661,1.7538059
0.08021286,-1.065136,1.8748552
-0.6400001,-2.9496388,3.190723
-0.43049112,-2.4651997,2.638058
-0.69369096,-2.8046663,2.9188719
-0.73304784,-2.8629646,3.0325003
0.15781121,3.235102,1.4114119
0.88122404,3.2925258,2.9362073
-0.527915,-2.07962,2.3126469
0.0012183476,0.36440733,1.7119508
2.0397801,0.22981983,3.0318944
0.90977097,-0.018118668,2.2454183
0.13906005,-0.9499439,1.8244871
0.17854424,-1.1551712,1.9403923
-0.11636629,-1.4133406,1.9134226
-0.12356895,-1.2247854,1.8488414
0.5138853,-0.6470559,1.9469585
-0.09099707,-1.4713813,1.9513266
-0.102768324,-1.3486152,1.98604
0.17792057,-1.0955615,1.8593489
-1.0988033,-2.881109,3.3488564
-2.1901128,-1.4676273,2.7242825
-1.0614269,-1.6745667,2.4080632
-3.5298882,-1.4016312,1.6303394
-2.2730896,-1.884368,2.4221387
0.004653207,-0.40079066,1.4481518
-0.06542077,-0.49099782,1.4141129
1.3336933,-1.4319808,2.9944274
1.2906736,-1.00452,3.172905
2.429228,-1.4794984,4.965369
0.6918041,-1.0653543,2.134749
1.6060053,-0.3178783,2.6553512
1.4835438,0.41259846,2.3981476
1.3694416,0.36161372,2.3388786
1.619089,-1.0785388,3.2594326
0.57510203,-1.5030187,2.0243804
0.5850993,-1.28435,2.0782487
0.6130192,-0.72414935,1.7660264
0.26971382,-1.8578943,2.8424368
1.1695505,-1.2570478,2.3296108
0.7072841,-0.9933872,1.2347573
1.587659,0.22817054,2.0782006
1.5511318,0.16096094,2.1801965
2.4816117,-1.9165478,4.9642396
1.1430664,-1.3962789,2.2551777
0.72391343,-0.9839847,1.8892188
0.8221257,-1.0067017,2.0734942
0.95731074,-0.51611006,1.4832491
0.7654132,-1.614574,2.505281
